,name,team,age,league,position,apps,minutesPlayed,goal,assistTotal,yellowCard,redCards,passRate,aerialWonPerGame,manOfMatch,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outFielderBlockPerGame,goalOwn,shotsPerGame,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnOverPerGame,totalPassesPerGame,passSuccess,accurateCrossesPerGame,accurateLongPassPerGame,accurateThroughBallPerGame,rating
0,Lionel Messi,"PSG,",35,Ligue 1,MF,13,1132,7,10,0,0,83.4,0,7,0.8,0,0.2,0,0,0.5,0,0,4.3,2.6,3.6,1.4,0.2,2.4,1.5,59.9,83.4,0.8,2.9,1.3,8.65
1,Neymar,"PSG,",30,Ligue 1,MF,12,1085,11,9,3,0,82.6,0.1,2,1.1,0.1,1.1,0,0,0.7,0.1,0,2.4,2.7,1.8,3.3,0.2,1.6,2.1,59.9,82.6,0.7,1.9,0.6,7.96
2,Erling Haaland,"Man City,",22,Premier League,FW,12,1041,18,3,2,0,76.5,1,3,0.1,0.1,0.7,0,0.3,0.1,0,0,4,1.1,0.3,0.7,0.3,0.9,1.3,14.4,76.5,0,0.1,0.2,7.9
3,Kylian Mbappé,"PSG,",23,Ligue 1,MF,13,1146,12,2,2,0,84,0.4,1,0.3,0.2,0.6,0,0.2,0.4,0,0,4.3,1.9,1.9,0.7,1.4,1.3,2.4,34.7,84,0.4,0.3,0.1,7.87
4,Kevin De Bruyne,"Man City,",31,Premier League,MF,13,1135,3,9,0,0,79.5,0.4,5,1.1,0.2,0.9,0,0.3,0.7,0.1,0,2.4,3.4,0.8,0.9,0.1,1.1,1.2,43.5,79.5,2.4,2.9,0.5,7.76
5,Martin Terrier,"Rennes,",25,Ligue 1,MF,14,1204,8,3,0,0,76.4,4,7,1.6,0.9,0.9,0,0.4,0.8,0.1,0,3,1.7,0.6,1.6,0.3,0.8,1.8,37,76.4,0.2,1.4,0.2,7.76
6,Robert Lewandowski,"Barcelona,",34,La Liga,FW,13,1068,13,4,0,1,80,1.1,7,0.5,0,1.4,0.1,0.1,0.3,0,0,3.6,1.1,0.9,1.4,0.5,1.1,2.6,20,80,0.2,0.6,0.1,7.73
7,Joshua Kimmich,"Bayern,",27,Bundesliga,DF,14,1277,2,3,3,0,89.2,0.7,1,2.3,1.4,0.9,0,1.1,1,0,0,1.2,2.7,0.5,1.4,0,1,0.7,78.7,89.2,2.2,5.9,0.3,7.67
8,Rémy Cabella,"Lille,",32,Ligue 1,MF,8,724,3,5,0,0,86.4,0.2,1,1.9,0.6,0.9,0,0.4,0.4,0.2,0,1.2,3.1,0.7,1.3,0.1,0.8,1.1,57.3,86.4,1.2,1.7,0.3,7.65
9,Jamal Musiala,"Bayern,",19,Bundesliga,MF,12,1000,9,6,0,0,83.9,0.5,3,1.1,0.5,0.6,0,0.2,0.3,0.1,0,2.6,1.8,1.6,1.2,0.1,2.4,2.9,31.4,83.9,0,0.3,0.1,7.64
10,Kieran Trippier,"Newcastle,",32,Premier League,DF,15,1327,1,3,3,0,77.3,1.2,5,1.9,1.3,0.8,0.3,2,0.9,0.5,0,0.4,2.3,0.3,0.7,0.2,0.1,0.7,51.8,77.3,3.5,3.3,0.3,7.6
11,Gabriel Jesus,"Arsenal,",25,Premier League,MF,14,1226,5,5,4,0,81.9,1.7,2,1.4,0.6,1.7,0,0.6,0.6,0.1,0,3.6,1.6,1.9,2.7,0.6,2.9,3.9,27.6,81.9,0.1,0.5,0.1,7.59
12,Khvicha Kvaratskhelia,"Napoli,",21,Serie A,MF,11,876,6,5,0,0,81.6,0.2,4,1.3,0,0.6,0,0.3,0.4,0,0,2.8,1.9,1.6,1.3,0.3,1.7,2.4,22.7,81.6,0.2,0.6,0.3,7.55
13,Harry Kane,"Tottenham,",29,Premier League,MF,15,1338,12,1,4,0,73.3,1.2,2,0.3,0.1,0.7,0.1,0.3,0.3,0.2,0,3.7,1.9,0.9,1.4,0.2,2,1.9,22,73.3,0.3,1.9,0.1,7.47
14,Marcus Thuram,"Borussia M.Gladbach,",25,Bundesliga,MF,15,1350,10,3,2,0,73.3,1.3,3,0.5,0.3,1.5,0,0.7,0.1,0.1,0,3.7,0.9,1.5,1.3,0.9,1.3,3.2,16.7,73.3,0.1,0.1,0.1,7.45
15,Jude Bellingham,"Borussia Dortmund,",19,Bundesliga,MF,15,1350,3,2,4,0,82.5,1.5,4,3.2,1.4,1,0,1.1,0.3,0.2,0,2.1,1,2,3,0,2.5,2.4,51.9,82.5,0.1,4.1,0.2,7.45
16,Vinícius Júnior,"Real Madrid,",22,La Liga,MF,14,1231,6,3,3,0,82,0,2,1.2,0.4,1.6,0,0,0.8,0,0,2.6,1.9,2.4,3.5,0.6,1.7,2.6,33,82,0.1,0.7,0.1,7.44
17,Alexandre Lacazette,"Lyon,",31,Ligue 1,MF,15,1303,9,3,2,0,73.1,0.7,2,1.5,0.6,1.7,0,0.2,0.9,0,0,3.1,1.7,1.1,1.4,0.4,1.3,1.7,25.5,73.1,0.2,0.7,0.1,7.44
18,Christopher Nkunku,"RBL,",25,Bundesliga,MF,14,1283,12,0,1,0,82.6,0.8,5,0.2,0.4,0.7,0,0.5,0.2,0.1,0,2.9,1.8,1.1,1.6,0.5,1.7,2,27.9,82.6,0.3,1.7,0.1,7.43
19,Niclas Füllkrug,"Werder Bremen,",29,Bundesliga,FW,14,1219,10,2,4,0,62.5,5.1,4,0.1,0,1.1,0,1.2,0.2,0.3,0,3.3,1.4,0.7,1.4,0.9,1.9,2.6,31.1,62.5,0.2,1.6,0,7.42
20,Aleksandar Mitrovic,"Fulham,",28,Premier League,FW,12,1021,9,0,4,0,57.2,5.2,3,0.8,0.1,1.1,0,0.9,0.3,0.3,0,4.7,0.9,1.1,1.3,0.8,2.1,3.2,19.7,57.2,0,1,0.1,7.42
21,Enzo Le Fée,"Lorient,",22,Ligue 1,MF,15,1334,2,3,1,0,84.8,0.4,3,3.2,0.9,1.2,0,0.9,2.2,0.1,0,1.3,2.7,1.8,1.9,0.1,1.6,2.2,55.7,84.8,1.1,3.5,0.3,7.42
22,Victor Osimhen,"Napoli,",23,Serie A,FW,10,905,9,2,1,0,74,2.3,2,0.2,0.2,1.8,0,0.6,0.4,0.1,0,4.4,1.1,0.5,1.3,0.7,1.3,3,11.5,74,0,0.2,0,7.42
23,Sergej Milinkovic-Savic,"Lazio,",27,Serie A,MF,13,1157,3,7,6,0,76.3,2.2,3,1.8,1,0.7,0,1.6,1,0.3,0,1.5,1.4,0.9,2.2,0.1,1.4,3.1,52.4,76.3,0.1,2.7,0.4,7.41
24,Vincenzo Grifo,"Freiburg,",29,Bundesliga,MF,14,1130,9,2,0,0,80.1,0.4,3,0.5,0.5,0.1,0.1,0.3,0.5,0,0,2.3,2.1,1.2,0.9,0.1,0.7,1.1,38.5,80.1,0.7,2.5,0.3,7.41
25,Dango Ouattara,"Lorient,",20,Ligue 1,MF,14,1197,5,4,1,1,65.9,1.9,2,2,1.1,0.9,0,1,0.6,0.4,0,2.7,1.1,1.3,2.4,0.1,1.4,2.1,22.4,65.9,0.1,0.5,0.1,7.4
26,Florian Sotoca,"Lens,",32,Ligue 1,MF,14,1239,6,5,3,0,81,1.3,3,1,1.2,1.2,0,0.7,0.5,0.1,0,2.8,2,0.4,1.1,0.1,0.9,1.5,39.3,81,0.6,2.5,0.4,7.4
27,Rodrygo,"Real Madrid,",21,La Liga,MF,10,914,4,4,1,0,88.1,0.7,1,0.8,0.3,0.8,0,0.2,0.3,0,0,3.3,1.4,1.8,1.5,0.3,1,2.1,27.4,88.1,0.3,0.3,0.1,7.4
28,James Maddison,"Leicester,",26,Premier League,MF,13,1100,7,4,5,0,84.2,0.2,3,1.9,0.7,1.2,0.1,0.2,0.9,0,0,3,2.4,0.5,2.2,0.2,1.1,1.7,39.9,84.2,0.8,2.4,0.1,7.39
29,Martin Ødegaard,"Arsenal,",23,Premier League,MF,13,1083,6,2,2,0,81.3,0.5,3,0.9,0.2,0.9,0.1,0.4,0.6,0.1,0,2.3,1.9,1.2,0.6,0,1.5,1.2,42.5,81.3,0.5,1.6,0.2,7.38
30,Phil Foden,"Man City,",22,Premier League,MF,11,911,7,3,1,0,85.6,0.6,0,0.7,0.2,0.3,0,0.2,0.1,0.1,0,1.9,1.5,0.7,0.9,0,1,1.4,36.7,85.6,1.5,0.8,0.1,7.37
31,Paulo Dybala,"Roma,",29,Serie A,MF,8,601,5,2,2,0,82.8,0.2,2,0.6,0.4,0.4,0,0.1,0.4,0,0,2.9,2.2,0.9,1.9,0.1,1.3,2.2,29.1,82.8,1.2,2,0,7.36
32,Michael Gregoritsch,"Freiburg,",28,Bundesliga,MF,15,1128,6,3,2,0,56,4.9,3,0.7,0.3,0.9,0,0.4,0.5,0.1,0,2.5,0.7,0.5,1.3,0.4,0.4,1.6,16.8,56,0.1,0.1,0,7.36
33,Bukayo Saka,"Arsenal,",21,Premier League,DF,14,1179,4,6,3,0,83.9,0.3,1,1.1,0.6,1.3,0.1,0.4,0.5,0,0,2.1,2.1,1.4,1.4,0.2,1.6,1.9,32,83.9,1.3,1,0,7.35
34,Gabriel Martinelli,"Arsenal,",21,Premier League,MF,14,1187,5,2,1,0,85.1,0.4,1,0.9,0.5,1.5,0,0.4,0.4,0.1,0,2.4,1.6,2,1.4,0.4,2,2.9,27.4,85.1,0.5,1.6,0.1,7.35
35,Federico Valverde,"Real Madrid,",24,La Liga,MF,12,1108,6,2,1,0,89.5,0.9,3,0.9,0.4,0.3,0,0.3,0.6,0.1,0,2.2,1.7,0.6,0.6,0.1,0.3,0.6,47.5,89.5,0.1,2.2,0,7.35
36,Rodri,"Man City,",26,Premier League,DF,13,1125,0,3,1,0,91.1,2.7,0,2,1.1,1.4,0,1.1,0.5,0.5,0,1.5,0.8,0.5,0.5,0.2,0.4,0.6,92.5,91.1,0,5.1,0,7.34
37,Benjamin André,"Lille,",32,Ligue 1,DF,14,1218,1,1,4,0,84.8,3.5,2,4.3,1.4,1.9,0.2,2,1.9,0.4,0,0.9,0.6,0.6,1.1,0.1,1.4,1.1,58.4,84.8,0,3.8,0.2,7.34
38,Ousmane Dembélé,"Barcelona,",25,La Liga,MF,11,874,4,5,3,0,84.7,0.1,2,1,0,0.8,0,0.1,0.6,0,0,2.1,2.2,1.2,0.5,0.2,0.8,1,32.3,84.7,1.3,1.4,0.4,7.33
39,Bruno Guimarães,"Newcastle,",25,Premier League,MF,12,999,3,2,1,0,83.1,0.3,1,2.6,1.3,1.4,0,0.6,0.8,0.3,0,0.8,1.3,0.8,2.8,0,1.9,1.1,52.2,83.1,0.1,3.3,0.2,7.33
40,Jonathan David,"Lille,",22,Ligue 1,MF,15,1331,9,3,3,0,83.9,0.3,3,0.7,0.3,0.8,0.1,0.5,0.3,0.1,0,3.3,1.4,0.9,1.7,0.6,1.3,2.5,22.4,83.9,0.1,0.5,0.1,7.33
41,Serge Gnabry,"Bayern,",27,Bundesliga,MF,10,834,8,3,0,0,83.1,0.1,2,0.5,0.4,0.5,0,0.1,0.4,0.1,0,2.7,1,0.9,0.3,0.3,0.5,1.5,24.9,83.1,0.3,0.5,0,7.33
42,Amine Gouiri,"Rennes,",22,Ligue 1,MF,10,794,6,1,1,0,80.5,0.9,0,1,0.3,1.5,0,0.4,0.6,0,0,2.4,1.5,0.8,0.4,0.5,1.3,2.1,21,80.5,0.5,0.9,0.1,7.32
43,Rodrigo Bentancur,"Tottenham,",25,Premier League,MF,13,1186,4,2,5,0,86.1,0.9,1,2.6,1.3,1.4,0,1,0.6,0.9,0,0.9,0.6,1.3,0.4,0,1,1.1,48.9,86.1,0.3,1.6,0.1,7.32
44,Mikel Merino,"Real Sociedad,",26,La Liga,MF,13,1129,1,6,5,0,77,3.3,4,2.4,0.9,2.4,0,2.3,0.7,0.4,0,1.7,1.4,0.4,1.4,0.1,1.3,1.4,46.6,77,0.1,2.1,0.1,7.31
45,Ivan Toney,"Brentford,",26,Premier League,FW,14,1260,10,2,5,0,64.1,3.1,2,0.9,0.4,1.6,0,1.1,0.3,0.1,0,2.9,1.1,0.4,1.8,0.9,1.4,3.1,22.3,64.1,0.2,0.4,0.1,7.3
46,Eric Choupo-Moting,"Bayern,",33,Bundesliga,MF,6,520,6,2,0,0,75.5,1,2,0.5,0,0.2,0,0.2,0,0,0,1.5,0.8,0.7,0.4,0.2,0.6,1.8,13.9,75.5,0.1,0.1,0.2,7.29
47,Adrien Rabiot,"Juventus,",27,Serie A,MF,11,935,3,2,1,0,85.5,1,1,1.9,1.1,1.3,0,0.6,0.5,0.3,0,1.2,0.9,0.9,1.3,0,1.1,1.8,33.9,85.5,0.2,2,0.1,7.28
48,Leroy Sané,"Bayern,",26,Bundesliga,MF,8,840,5,3,3,0,83.8,0.3,0,0.7,0.1,0.6,0,0,0.4,0.1,0,3.1,1.3,1.8,0.8,0.1,1.8,1.9,34.8,83.8,0.1,0.3,0.1,7.27
49,Thomas Partey,"Arsenal,",29,Premier League,DF,11,961,2,0,1,0,87.5,1.2,1,2.1,1.3,0.9,0,1.6,0.8,0.1,0,1.1,0.8,0.8,0.5,0,0.7,1.1,64.2,87.5,0,3.7,0.1,7.27
50,Randal Kolo Muani,"Eintracht Frankfurt,",24,Bundesliga,MF,13,1122,5,9,1,1,65.8,1.4,3,0.4,0,1.8,0,0.2,0.2,0,0,2,1.4,2,1.9,0.9,2.4,4,16.5,65.8,0.1,0.4,0.1,7.25
51,Jonas Hofmann,"Borussia M.Gladbach,",30,Bundesliga,DF,13,1155,5,4,0,0,78.8,0.5,2,1,0.5,0.5,0,0.3,1.1,0.2,0,1.5,2.8,0.4,1.6,0.8,1.3,1.5,36.3,78.8,2.8,1.2,0.2,7.25
52,Frenkie de Jong,"Barcelona,",25,La Liga,DF,9,898,2,1,0,0,90.5,0.5,0,1.5,1.2,0.9,0.1,0.4,0.3,0,0,1,1.4,1.2,0.9,0.1,1,0.9,55.6,90.5,0.3,2.8,0.2,7.24
53,Mário Rui,"Napoli,",31,Serie A,DF,11,977,0,5,2,0,83.1,0.7,1,1.4,1,0.8,0.2,1,0.6,0.2,0,0.5,2.7,0.1,1.3,0,0.4,0.4,57.8,83.1,2,4.8,0.1,7.23
54,Dominik Szoboszlai,"RBL,",22,Bundesliga,MF,11,953,1,7,0,1,83.2,0.1,1,1,0.8,0.9,0,0.5,0.3,0.1,0,1.4,2.5,1,1.3,0.1,0.9,1.7,41.6,83.2,1.6,2.1,0.3,7.23
55,Joelinton,"Newcastle,",26,Premier League,MF,12,1060,1,1,5,0,81.7,1.8,1,2.5,1.2,1.7,0.1,1.4,1.1,0.1,0,1.5,1.1,1.4,0.9,0.1,1.8,2.5,36.2,81.7,0.3,0.9,0.1,7.22
56,Konstantinos Mavropanos,"Stuttgart,",24,Bundesliga,DF,13,1149,2,1,5,0,79.9,2.5,1,2.2,2.4,0.8,0.2,3.8,0.2,1,0,1.9,0.6,0.6,0.8,0,0.1,1.5,47.2,79.9,0.1,5.8,0.1,7.22
57,Pedri,"Barcelona,",20,La Liga,MF,12,1030,3,0,0,0,91.1,0.1,2,1.4,0.6,0.3,0,0.4,1.4,0,0,0.7,1.4,1.1,1.6,0.1,0.7,1.3,51.4,91.1,0,5.4,0.5,7.21
58,Marco Verratti,"PSG,",30,Ligue 1,MF,14,1060,0,0,5,0,94,0.2,0,3.4,1,1,0,0.2,1.5,0.4,0,0.2,0.4,1.2,1.4,0,1.1,0.9,86.4,94,0,3.4,0.2,7.21
59,Willi Orbán,"RBL,",30,Bundesliga,DF,15,1350,3,0,1,0,88.4,3.5,0,1.8,1.5,0.6,0.3,4.7,0.6,0.7,0,1,0.2,0.2,1.1,0.1,0.2,0.3,74.3,88.4,0,4.8,0,7.21
60,Lorenzo Pellegrini,"Roma,",26,Serie A,MF,13,1105,1,4,2,0,79.5,0.5,4,1.8,0.8,0.9,0,0.5,0.8,0.2,0,2.5,2.4,1.2,1.8,0.2,1,1.8,35.3,79.5,1.6,2.5,0.1,7.21
61,Lautaro Martínez,"Inter,",25,Serie A,FW,14,1219,7,3,1,0,75.1,1.1,2,0.6,0.4,1.5,0,0.7,0.3,0.1,0,3.4,1.6,0.8,1.9,0.3,1.3,1.8,19.3,75.1,0,1,0.1,7.21
62,Benjamin Pavard,"Bayern,",26,Bundesliga,DF,11,1018,1,0,2,0,89.1,1.5,1,2.5,1.5,0.8,0.3,2.2,0.2,0.2,0,1.1,0.9,0,0.5,0.3,0.2,0.4,67.6,89.1,0.5,2.5,0.1,7.21
63,Roberto Firmino,"Liverpool,",31,Premier League,MF,11,937,7,3,0,0,79.6,1,2,1,0.5,0.5,0,0.2,0.6,0.1,0,2.5,1.3,0.5,0.4,0.2,1.5,2,32.4,79.6,0.1,0.5,0.3,7.2
64,Antoine Griezmann,"Atletico,",31,La Liga,MF,7,772,5,3,0,0,84.7,0.5,2,1.2,0.5,0.5,0,0.3,0.6,0.1,0,1.9,1.6,1,0.7,0.2,0.9,0.7,28.1,84.7,0.8,1.4,0.1,7.2
65,Mattia Zaccagni,"Lazio,",27,Serie A,MF,13,1026,5,3,2,0,83.9,0.2,1,1,0.5,1.5,0,0.2,0.2,0.2,0,1.7,1,1.1,3.4,0.1,0.8,1.8,22.5,83.9,0.2,0.5,0,7.19
66,Miguel Almirón,"Newcastle,",28,Premier League,MF,15,1264,8,1,0,0,85.5,0.3,1,1.6,0.1,0.6,0,0.3,0.3,0.1,0,2.5,0.8,0.9,0.9,0.4,0.7,1.7,30.3,85.5,0.2,0.5,0,7.19
67,Maximilian Arnold,"Wolfsburg,",28,Bundesliga,MF,15,1310,3,2,4,0,81,0.9,2,1.9,0.5,0.9,0.2,1.9,0.6,0.5,0,1.1,1.5,0.3,2.1,0,0.7,0.7,42,81,1.5,6,0.3,7.19
68,Brais Méndez,"Real Sociedad,",25,La Liga,MF,13,1125,6,2,4,0,84.3,0.6,0,2.2,0.4,2.3,0,0.4,0.9,0.1,0,2.1,1.3,0.6,1.5,0,0.9,1.4,42.7,84.3,1.3,2.7,0.2,7.18
69,Armand Laurienté,"Sassuolo,",24,Serie A,MF,9,753,2,3,1,1,81.6,0.1,2,0.6,0.2,0.7,0,0.1,0,0,0,2.1,3.6,1.7,1.8,0,2.4,1.7,26,81.6,1.3,0.4,0.1,7.18
70,Frank Anguissa,"Napoli,",27,Serie A,MF,13,1098,2,3,1,0,88.5,1.4,1,1.8,1.1,0.7,0,1.1,0.7,0.1,0,1.8,0.9,0.8,1.5,0.1,1.5,1.7,58.2,88.5,0,1.8,0,7.18
71,Hakan Çalhanoglu,"Inter,",28,Serie A,MF,13,1079,2,4,1,0,87.5,0.5,2,2.1,1.1,1.5,0,0.2,0.8,0.3,0,1.7,2.1,0.1,1,0.1,0.4,1.4,42.7,87.5,1.9,2.1,0.2,7.17
72,Joselu,"Espanyol,",32,La Liga,FW,14,1260,7,1,1,0,61.8,5.1,1,0.2,0.2,0.6,0.1,1.6,0.1,0.2,0,2.7,0.5,0.5,2.2,0.4,1.9,2.1,23.2,61.8,0.1,0.5,0,7.17
73,Aleix García,"Girona,",25,La Liga,MF,14,1247,0,3,1,0,89.7,0.5,1,1.4,1.2,0.8,0.1,0.7,0.4,0.3,0,1.4,2.5,0.6,1.3,0,0.4,0.6,56.8,89.7,3,3.9,0.1,7.17
74,Sadio Mané,"Bayern,",30,Bundesliga,MF,12,913,6,3,1,0,74.8,0.7,0,0.4,0,0.9,0,0.1,0.3,0.1,0,2.9,0.9,1.4,1.2,1.1,0.9,2.5,18.7,74.8,0.4,0.3,0,7.17
75,Fabian Schär,"Newcastle,",30,Premier League,DF,14,1245,1,0,4,0,75.7,2.4,0,1.1,1.4,0.6,0.7,4.4,0.2,1,0,1.1,0.6,0.1,0.7,0.1,0.1,0.4,49.4,75.7,0.1,4.2,0,7.17
76,José Gayà,"Valencia,",27,La Liga,DF,10,866,0,2,1,0,83.8,0.8,2,2.4,1.1,0.5,0,1.8,0.8,0.5,0,1,2.1,0.7,0.5,0.5,0.1,0.6,49.3,83.8,1.8,3.7,0.1,7.17
77,Rafal Gikiewicz,"Augsburg,",35,Bundesliga,GK,11,990,0,0,2,0,60.3,0,3,0.1,0,0,0,1.1,0,0,0,0,0,0,0.2,0,0,0.2,39.8,60.3,0,10.5,0,7.17
78,Bruno Fernandes,"Man Utd,",28,Premier League,MF,13,1170,2,1,5,0,77.8,0.6,1,2,0.8,1.5,0,1.1,0.7,0.1,0,2,2.5,0.6,1.5,0.6,1.2,0.8,47.2,77.8,0.8,2.8,0.5,7.16
79,Piotr Zielinski,"Napoli,",28,Serie A,MF,11,917,3,5,0,0,84.3,0,1,0.4,0.5,0.3,0,0.1,0.2,0.2,0,1.7,2.3,0.6,0.7,0.1,0.5,0.8,33.9,84.3,1.3,1,0,7.16
80,Ciro Immobile,"Lazio,",32,Serie A,FW,10,818,6,3,2,0,75.1,0.5,3,0.4,0.1,0.6,0,0.5,0,0.1,0,2.5,0.8,0.5,0.8,0.5,1.1,1.8,19.4,75.1,0,0.3,0.2,7.16
81,Daichi Kamada,"Eintracht Frankfurt,",26,Bundesliga,MF,11,964,7,3,1,0,84.5,0.4,2,1.9,0.5,1.3,0.1,0.5,0.4,0.1,0,1.5,1,0.5,1.3,0.3,0.8,1.1,40.2,84.5,0.5,1.8,0.2,7.15
82,Aurélien Tchouaméni,"Real Madrid,",22,La Liga,MF,11,903,0,2,1,0,93.2,1.8,1,2.3,1.8,1.3,0,1.8,0.5,0.2,0,1.2,0.8,0.8,0.9,0,0.6,1,56.1,93.2,0,1.3,0.3,7.15
83,Gianluigi Donnarumma,"PSG,",23,Ligue 1,GK,15,1350,0,0,1,0,86.8,0.2,2,0,0,0,0,0.7,0,0,0,0,0,0,0.1,0,0,0,21.2,86.8,0,2.1,0,7.15
84,João Cancelo,"Man City,",28,Premier League,DF,14,1121,2,1,3,1,87.3,1.7,1,2,1.2,0.7,0.1,0.2,0.4,0.1,0,1.1,0.8,1.6,1,0.3,0.9,1.1,69.4,87.3,0.8,2.6,0,7.15
85,Lucas Martínez,"Fiorentina,",26,Serie A,DF,12,1046,1,0,2,0,83.5,3.2,1,3.4,1.9,0.7,0.6,3.2,0.7,0.9,0,0.9,0.2,0,1.4,0,0.2,0.4,58.8,83.5,0,6.5,0,7.14
86,Bernd Leno,"Fulham,",30,Premier League,GK,13,1170,0,0,0,0,74.3,0.5,1,0,0,0,0,0.8,0.1,0,0,0,0.1,0,0.1,0,0,0,30.2,74.3,0,4.9,0,7.14
87,Nabil Bentaleb,"Angers,",28,Ligue 1,MF,12,1074,2,1,0,0,82.3,1.3,3,3.3,2,1.3,0.1,0.9,0.7,0.3,0,1.1,1,1.5,1.9,0,0.8,0.8,58.8,82.3,0.7,4.8,0.1,7.14
88,Gerónimo Rulli,"Villarreal,",30,La Liga,GK,14,1260,0,0,1,0,83.7,0.2,2,0,0.1,0,0,0.7,0,0,0,0,0,0,0.1,0,0,0,33.8,83.7,0,5,0,7.14
89,Vedat Muriqi,"Mallorca,",28,La Liga,FW,12,1043,8,1,3,1,61.1,4.8,3,0.5,0.3,1.8,0,1.6,0.2,0.2,0,3.1,1,0.2,1,0.8,1.3,2,23.6,61.1,0,0.6,0,7.14
90,Moussa Diaby,"Leverkusen,",23,Bundesliga,MF,15,1257,6,3,1,0,80.9,0.2,1,0.7,0.2,0.4,0,0.1,0.5,0,0,1.9,1.9,1.3,0.5,0.3,1.3,1.7,27.2,80.9,0.7,0.8,0.1,7.13
91,Yann Sommer,"Borussia M.Gladbach,",33,Bundesliga,GK,10,900,0,0,0,0,80.5,0,2,0.1,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,55.5,80.5,0,6.9,0,7.13
92,Dodi Lukébakio,"Hertha Berlin,",25,Bundesliga,MF,15,1266,7,1,5,0,72.9,0.7,3,0.8,0.5,1.3,0,0.6,0.5,0.3,0,2.5,0.9,2.1,1.9,0.5,1.8,2.7,19.5,72.9,0.6,0.9,0.1,7.13
93,Bernardo Silva,"Man City,",28,Premier League,MF,12,1069,2,5,1,0,89.9,0,0,1.6,0.5,0.6,0,0.3,0.8,0.1,0,1,1.4,1.1,0.6,0,1.3,1.2,48.2,89.9,0.4,2.4,0.1,7.12
94,Branco van den Boomen,"Toulouse,",27,Ligue 1,MF,15,1330,1,4,2,0,82.6,0.2,0,2.1,0.3,1,0.1,0.9,1.3,0.1,0,1.8,3,0.3,0.3,0.1,0.5,0.8,54.1,82.6,2.7,8.5,0.2,7.12
95,Andrei Girotto,"Nantes,",30,Ligue 1,DF,14,1245,0,1,3,0,84.4,2.1,1,3.6,2.9,1.6,0.2,5.5,1.6,0.6,0,0.7,0.4,0.1,1.1,0,0.1,0.6,46.8,84.4,0.1,3.9,0,7.12
96,Rafael Leão,"AC Milan,",23,Serie A,MF,12,1012,6,4,2,1,79.4,0.7,4,0.1,0.3,0.6,0,0.2,0.2,0.1,0,3.6,1.6,1.7,0.6,0.3,1.1,2,20.8,79.4,0.6,2.1,0.1,7.12
97,Kim Min-Jae,"Napoli,",26,Serie A,DF,14,1260,2,0,2,0,89.6,3.1,0,1.6,1.1,0.6,0.4,3.9,0.1,1.1,0,0.4,0.4,0.1,0.1,0,0.5,0.4,73.7,89.6,0.1,3.5,0,7.11
98,Breel Embolo,"Monaco,",25,Ligue 1,MF,13,1094,7,2,2,0,68,1.1,1,0.5,0.3,1.6,0.1,0.6,0.3,0.1,0,1.6,1.3,1.2,2.3,0.4,1.5,2.6,16.5,68,0,0.3,0.1,7.1
99,Ilkay Gündogan,"Man City,",32,Premier League,MF,10,894,2,2,0,0,89.7,0.9,0,0.9,0.7,0.7,0,0.4,0.3,0.2,0,1.8,1.9,0.3,0.6,0.3,0.7,1,48.5,89.7,0.3,2.4,0.3,7.1
100,Gerard Deulofeu,"Udinese,",28,Serie A,MF,15,1206,2,6,1,0,80.2,0.1,2,0.5,0.1,0.5,0,0.1,0.6,0.1,0,2.9,3.1,1.3,0.7,0.5,1.2,1.5,33.7,80.2,1.2,0.6,0,7.1
101,Guido Rodríguez,"Real Betis,",28,La Liga,MF,12,1045,0,0,2,0,88.7,1.1,1,3.2,1.1,1.3,0,1.8,0.9,0.5,0,0.7,0.4,0.7,1.7,0.1,0.6,0.8,49.6,88.7,0,2.5,0.2,7.1
102,Son Heung-Min,"Tottenham,",30,Premier League,MF,12,1035,3,2,0,0,80.6,0.3,2,0.7,0.4,0.5,0,0.2,0.4,0.1,0,2.8,2.2,0.7,1.2,0.5,1.3,2.3,21,80.6,1.3,0.4,0,7.1
103,Achraf Hakimi,"PSG,",24,Ligue 1,DF,12,1076,3,1,3,0,89.2,0.3,0,2.1,0.2,0.9,0.1,0.3,0.9,0.1,0,0.6,1.3,0.6,0.5,0.1,1,0.7,41.9,89.2,0.6,0.2,0,7.09
104,Terem Moffi,"Lorient,",23,Ligue 1,MF,13,1043,10,0,1,0,74.7,0.9,1,0.6,0.1,0.8,0,0.4,0,0.1,0,1.9,0.5,1.4,1.1,0.2,0.9,2.4,12.1,74.7,0,0.1,0,7.09
105,Romain Del Castillo,"Brest,",26,Ligue 1,MF,6,517,4,2,2,0,71.9,0.2,2,1.9,0.3,0.8,0,0.2,0.6,0.1,0,1.7,1.1,1.2,0.9,0,1.3,1.8,22.1,71.9,1.3,1.2,0,7.09
106,Ismaël Bennacer,"AC Milan,",25,Serie A,MF,12,1071,1,1,2,0,88.7,0.9,1,2.3,0.8,1.2,0,0.5,0.5,0.3,0,0.4,2,1,0.8,0.1,0.7,1.3,47.6,88.7,0.9,3.4,0.1,7.09
