,name,team,age,league,position,apps,minutesPlayed,goal,assistTotal,yellowCard,redCards,passRate,aerialWonPerGame,manOfMatch,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outFielderBlockPerGame,goalOwn,shotsPerGame,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnOverPerGame,totalPassesPerGame,passSuccess,accurateCrossesPerGame,accurateLongPassPerGame,accurateThroughBallPerGame,rating
377,Che Adams,"Southampton,",26,Premier League,MF,12,1067,4,1,0,0,70.7,2.3,1,0.7,0.2,1.3,0.1,1,0.1,0.1,0,2.1,1.1,0.7,0.9,0.4,0.8,2.9,17.6,70.7,0.1,1.1,0.1,6.78
378,Ellyes Skhiri,"FC Koln,",27,Bundesliga,MF,14,1260,0,0,2,0,89.1,1.3,0,2.9,1.5,1.4,0.1,1.1,1.1,0.4,0,1.1,1.1,0.8,0.4,0.2,0.4,0.9,51.6,89.1,0.1,2.5,0,6.78
379,Lukasz Fabianski,"West Ham,",37,Premier League,GK,15,1245,0,0,0,0,64.9,0.3,0,0,0,0,0,0.6,0,0,0,0,0,0,0.1,0,0,0.1,21.3,64.9,0,5.5,0,6.78
380,Fernando Martínez,"Almeria,",32,La Liga,GK,13,1170,0,0,1,0,67.5,0,1,0,0,0,0,0.6,0.1,0,0,0,0,0,0.2,0,0,0,30.8,67.5,0,5.1,0,6.78
381,Mouctar Diakhaby,"Valencia,",25,La Liga,DF,10,794,2,0,3,1,84.4,1,1,1.4,0.7,0.9,0.6,3.1,0.2,0.6,0,0.4,0.2,0,0.3,0,0.2,0.7,44.2,84.4,0,5.1,0,6.78
382,Harvey Barnes,"Leicester,",24,Premier League,MF,13,1091,6,0,0,0,75.3,0.8,0,0.8,0.2,0.8,0,0.2,0.5,0,0,2.5,0.5,0.7,1.1,0.1,1.5,2.7,23.1,75.3,0,0.4,0.1,6.78
383,Eric García,"Barcelona,",21,La Liga,DF,8,610,1,0,2,0,91.4,0.9,0,1.3,1,1.2,1.2,1,0.2,0.7,0,0.3,0,0,0.1,0,0,0.2,55.3,91.4,0,3.4,0,6.78
384,Salis Abdul Samed,"Lens,",22,Ligue 1,MF,15,1350,1,0,2,0,92.3,0.6,0,1.5,1.2,2.5,0.1,0.7,0.6,0.3,1,0.4,0.6,0.6,1.5,0,1.4,1.3,59.9,92.3,0.1,1.6,0.1,6.78
385,Florian Niederlechner,"Augsburg,",32,Bundesliga,MF,10,912,4,1,1,0,60.4,2.1,0,0.7,0.1,0.9,0,0.6,0.2,0.1,0,2,0.4,0.3,0.9,0.6,0.8,1.1,13.7,60.4,0,0.1,0,6.78
386,Oriol Romeu,"Girona,",31,La Liga,MF,11,990,1,0,4,0,88.4,1.1,0,3,1.3,2.2,0,0.9,0.9,0.4,0,1,0.5,0.5,0.5,0,0.6,0.7,50.4,88.4,0.2,3.1,0,6.78
