name,team,age,league,position,apps,minutesPlayed,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outFielderBlockPerGame,goalOwn,rating
Bevic Moussiti-Oko,AC Ajaccio,27,Ligue 1,FW,5,485,0.3,0.1,0.8,0,0.6,0,0.1,0,6.41
Nadiem Amiri,Leverkusen,26,Bundesliga,MF,3,418,0.5,0.3,0.5,0,0.4,0.4,0,0,6.41
Jon Pacheco,Real Sociedad,21,La Liga,DF,7,677,1,0.7,1,0.1,2.2,0.2,0.3,0,6.41
Kristian Thorstvedt,Sassuolo,23,Serie A,MF,10,799,0.6,0.6,0.9,0.1,0.6,0.3,0.1,0,6.4
Samuele Birindelli,Monza,23,Serie A,MF,7,639,1.4,0.8,0.5,0.2,0.8,0.3,0.3,0,6.4
Tyrell Malacia,Man Utd,23,Premier League,DF,6,567,1.7,0.9,1.4,0,1.4,0.9,0.2,0,6.4
Karim Adeyemi,Borussia Dortmund,20,Bundesliga,MF,7,492,0.5,0.4,0.6,0,0,0.8,0,0,6.4
Silvan Widmer,Mainz,29,Bundesliga,DF,11,927,1.1,1.4,0.3,0.2,0.7,0.2,0.3,0,6.4
Andrea Consigli,Sassuolo,35,Serie A,GK,15,1350,0.1,0,0,0,0.7,0,0,0,6.4
Nicola Zalewski,Roma,20,Serie A,MF,7,596,1,0.6,0.4,0,0.4,0.7,0,0,6.4
Amine Salama,Angers,22,Ligue 1,FW,5,529,0.2,0.2,0.2,0,0.2,0.3,0.2,0,6.4
Ivan Sunjic,Hertha Berlin,26,Bundesliga,MF,10,844,2.3,0.8,1,0,1.3,0.6,0.3,0,6.4
Rafa Mir,Sevilla,25,La Liga,FW,7,562,0.6,0.2,0.9,0.2,0.8,0.1,0,0,6.4
Darko Lazovic,Verona,32,Serie A,MF,10,838,1.2,0.5,0.3,0,0.8,0.8,0.2,0,6.4
Joakim Maehle,Atalanta,25,Serie A,DF,8,804,1.1,0.6,0.6,0,0.4,0.4,0.1,0,6.4
Gian Marco Ferrari,Sassuolo,30,Serie A,DF,14,1259,0.9,0.9,0.9,1.1,3.3,0.2,0.9,0,6.4
Adrien Thomasson,Strasbourg,28,Ligue 1,MF,8,758,1.3,0.2,0.9,0,0.1,1.2,0,0,6.4
Rick Karsdorp,Roma,27,Serie A,DF,7,550,2,0.7,0.2,0.1,1.4,0.3,0,0,6.4
Mitchell van Bergen,Reims,23,Ligue 1,MF,3,420,0.7,0.3,0.2,0,0.3,0.5,0.2,0,6.4
Mateo Kovacic,Chelsea,28,Premier League,MF,5,634,1.1,0.9,0.5,0,0.6,0.4,0.1,0,6.39
Thomas Henry,Verona,28,Serie A,FW,13,1031,0.3,0,1.7,0,0.9,0.2,0.1,0,6.39
Cristiano Ronaldo,Man Utd,37,Premier League,MF,4,520,0.2,0.1,0.7,0,0.8,0.1,0,0,6.39
Joaquín Correa,Inter,28,Serie A,MF,3,332,0.4,0,0.3,0,0,0,0,0,6.39
Victor Chust,Cadiz,22,La Liga,DF,9,852,0.7,0.9,0.7,0.3,4,0.3,0.3,0,6.39
Matheus Henrique,Sassuolo,24,Serie A,MF,4,484,0.8,0.6,0.4,0,0.3,0.1,0,0,6.39
Sanjin Prcic,Strasbourg,29,Ligue 1,MF,9,789,1.1,0.9,0.6,0,0.5,0.2,0.2,0,6.39
Rubén Vargas,Augsburg,24,Bundesliga,MF,5,491,0.6,0.3,0.7,0,0.7,0.4,0.2,0,6.39
Rodrigo Riquelme,Girona,22,La Liga,MF,9,798,0.5,0.2,0.7,0,0.1,0.7,0,0,6.39
Jérémy Le Douaron,Brest,24,Ligue 1,MF,6,521,0.2,0.1,1.1,0,0.3,0.5,0.1,0,6.39
Charles Pickel,Cremonese,25,Serie A,MF,12,1011,1.5,0.5,0.9,0,0.6,0.4,0.2,0,6.39
Nemanja Maksimovic,Getafe,27,La Liga,MF,10,718,1.1,0.8,0.4,0,0.7,0.3,0.8,0,6.39
Marlon Santos,Monza,27,Serie A,DF,10,826,1.3,0.8,1,0.3,2,0.4,0.2,1,6.39
Sofyan Amrabat,Fiorentina,26,Serie A,MF,10,819,1.2,0.8,1.8,0,0.5,0.4,0.2,0,6.39
