name,team,age,league,position,apps,minutesPlayed,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outFielderBlockPerGame,goalOwn,rating
Florian Dietz,FC Koln,24,Bundesliga,FW,4,394,0.2,0,1,0,0.2,0.3,0.1,0,6.3
Gumbau,Elche,27,La Liga,MF,9,834,0.9,0.5,1.5,0,1,0.5,0.4,0,6.3
Jordi Osei-Tutu,Bochum,24,Bundesliga,DF,5,495,1.3,0.3,0.3,0.1,0.4,0.4,0.3,0,6.3
Alfred Duncan,Fiorentina,29,Serie A,MF,2,285,0.8,0.3,0.8,0,0.3,0.4,0,0,6.3
Óscar Mingueza,Celta Vigo,23,La Liga,DF,4,475,1.9,0.4,0.9,0.1,0.8,0.1,0.3,0,6.3
Ronaldo Vieira,Sampdoria,24,Serie A,MF,5,531,1.1,0.8,1,0,0.6,0.3,0.3,0,6.3
Sebastian Polter,Schalke,31,Bundesliga,MF,4,458,0.3,0,1.4,0,0.4,0.1,0,0,6.3
Islam Slimani,Brest,34,Ligue 1,FW,10,837,0.3,0.1,1.4,0,0.8,0.2,0,0,6.3
Sven Michel,Union Berlin,32,Bundesliga,MF,0,220,0.2,0,0.5,0,0.2,0,0,0,6.3
Sebastian Rudy,Hoffenheim,32,Bundesliga,DF,1,243,1,0.2,0.5,0,0.8,0.5,0.1,0,6.29
Fran Beltrán,Celta Vigo,23,La Liga,MF,13,1126,0.7,1,0.7,0,0.4,0.9,0.1,0,6.29
Iván Alejo,Cadiz,27,La Liga,MF,8,660,1.8,0.2,1.9,0,0.3,1.1,0.1,0,6.29
Tanguy Nianzou,Sevilla,20,La Liga,DF,8,643,1,0.8,0.3,0.4,1.8,0,0.4,0,6.29
Federico Di Francesco,Lecce,28,Serie A,MF,8,654,0.5,0.1,1.2,0,0.5,0.5,0,0,6.29
Mitchel Bakker,Leverkusen,22,Bundesliga,DF,9,765,0.6,0.5,0.7,0.1,0.7,0.2,0.2,0,6.29
Omar Mascarell,Elche,29,La Liga,MF,12,1016,1.5,1.2,0.8,0,1.5,1.2,0.3,0,6.29
Mikkel Damsgaard,Brentford,22,Premier League,MF,1,261,0.9,0.2,0.6,0,0.3,0.9,0,0,6.29
Marcus Coco,Nantes,26,Ligue 1,MF,3,215,0.8,0.7,0.7,0.1,0,0.6,0.3,0,6.29
Ivan Rakitic,Sevilla,34,La Liga,MF,6,524,0.9,0.8,0.5,0,0.7,0.6,0,0,6.28
Stuart Armstrong,Southampton,30,Premier League,MF,7,690,0.9,0.2,0.5,0,0.4,0.9,0,0,6.28
Jesús Navas,Sevilla,37,La Liga,DF,6,624,0.6,0.3,0.1,0.2,0.7,0.6,0.3,1,6.28
Valery Fernández,Girona,23,La Liga,MF,4,397,0.7,0.2,0.1,0,0,0.1,0,0,6.28
Thorgan Hazard,Borussia Dortmund,29,Bundesliga,MF,2,455,1.2,0.4,1,0,0.3,0.4,0,0,6.28
Andreas Bruus,Troyes,23,Ligue 1,DF,5,505,0.4,0.6,0.1,0,0.4,0.1,0.1,0,6.28
Enzo Millot,Stuttgart,20,Bundesliga,MF,3,350,0.9,0.8,0.5,0,0.4,0.3,0.2,0,6.27
Julian Jeanvier,Auxerre,30,Ligue 1,DF,9,728,1.1,1.2,1,0.1,4.8,0.3,1,0,6.27
Khalil Fayad,Montpellier,18,Ligue 1,MF,4,326,1.6,0.2,0.9,0,0.2,0.3,0,0,6.27
Cyriel Dessers,Cremonese,27,Serie A,FW,11,865,0.5,0.2,1.4,0,0.2,0,0.1,0,6.27
Ezequiel Ponce,Elche,25,La Liga,MF,4,506,0.4,0,1.4,0,0.7,0.2,0.1,0,6.27
Clément Grenier,Mallorca,31,La Liga,MF,4,404,1.1,0.5,1.3,0,0.4,0.2,0,0,6.27
Djené Dakonam,Getafe,30,La Liga,DF,12,1004,0.8,1,1.3,0.5,1.9,0.3,0.3,0,6.27
Keidi Bare,Espanyol,25,La Liga,MF,3,328,0.6,1,0.8,0,0.4,0.4,0.2,0,6.27
Yves Bissouma,Tottenham,26,Premier League,MF,6,602,0.6,0.6,0.7,0,0.4,0.2,0.3,0,6.27
Angelo Fulgini,Mainz,26,Bundesliga,MF,5,490,0.4,0.4,0.5,0.1,0.3,0.4,0,0,6.27
Yannik Keitel,Freiburg,22,Bundesliga,MF,4,345,0.5,0.7,1.2,0,0,0,0,0,6.27
Tanguy Ndombélé,Napoli,25,Serie A,MF,6,467,0.5,0.2,0.6,0,0.3,0.2,0,0,6.26
Léo Leroy,Montpellier,22,Ligue 1,MF,2,251,1.6,0.2,0.8,0,0.1,0.8,0.1,0,6.26
Gonzalo Escalante,Cremonese,29,Serie A,MF,7,556,1.8,1.1,0.7,0,0.4,0.3,0.1,0,6.26
Andrea Petagna,Monza,27,Serie A,FW,6,534,0.3,0.2,0.9,0,0.6,0,0.2,0,6.26
Armando Broja,Chelsea,21,Premier League,FW,2,290,0.3,0.1,0.2,0,0.1,0,0.1,0,6.26
Brian Ocampo,Cadiz,23,La Liga,MF,7,562,0.8,0.1,1.9,0,0.2,0.4,0,0,6.26
Emre Can,Borussia Dortmund,28,Bundesliga,DF,3,394,1.7,0.5,0.9,0,1.1,0.5,0,0,6.26
Neal Maupay,Everton,26,Premier League,MF,6,554,0.5,0.1,0.7,0,0,0,0,0,6.26
Gonçalo Paciência,Celta Vigo,28,La Liga,FW,3,328,0.5,0,1,0,0.2,0.2,0.1,0,6.26
José Mari,Cadiz,35,La Liga,MF,2,282,1,0.5,0.3,0,0.4,0.4,0.1,0,6.26
Marvin Schwäbe,FC Koln,27,Bundesliga,GK,15,1350,0,0.1,0,0,0.5,0,0,0,6.26
Gauthier Hein,Auxerre,26,Ligue 1,MF,8,672,0.9,0.3,0.5,0,0.3,0.6,0,0,6.26
Iké Ugbo,Troyes,24,Ligue 1,FW,5,385,0.3,0.1,0.2,0,0.2,0.2,0.1,0,6.26
Jim Allevinah,Clermont Foot,27,Ligue 1,MF,5,542,0.7,0.1,0.6,0,0.1,0.9,0,0,6.25
Dion Lopy,Reims,20,Ligue 1,MF,8,608,1.5,1.2,1.4,0,1,1.5,0.2,0,6.25
Erhan Masovic,Bochum,24,Bundesliga,DF,7,719,1.3,0.4,0.5,0.3,1.9,0.5,0.8,1,6.25
Pablo Sarabia,PSG,30,Ligue 1,DF,3,314,0.3,0.2,0.3,0,0,0.5,0,0,6.25
Oliver Burke,Werder Bremen,25,Bundesliga,MF,1,242,0.1,0,0.2,0,0,0,0,0,6.25
Christian Pulisic,Chelsea,24,Premier League,MF,3,415,0.7,0.2,0.6,0,0.3,0.2,0,0,6.25
Valerio Verre,Sampdoria,28,Serie A,MF,3,426,0.8,0.6,0.9,0.1,0.1,0.3,0.1,0,6.25
Dyego Sousa,Almeria,33,La Liga,FW,2,302,0.4,0,0.6,0,0.8,0,0.1,0,6.25
Kieran Tierney,Arsenal,25,Premier League,DF,3,346,0.5,0.5,0.2,0,0.9,0.1,0.1,0,6.25
Lucas Alario,Eintracht Frankfurt,30,Bundesliga,FW,2,234,0.3,0,0.6,0,0.9,0,0,0,6.25
Kingsley Ehizibue,Udinese,27,Serie A,DF,2,339,0.8,0.1,0.7,0,0.6,0.1,0.1,0,6.25
Luca Kilian,FC Koln,23,Bundesliga,DF,13,1099,1.7,0.8,0.5,0.6,3.5,0.7,0.6,0,6.24
Jon Moncayola,Osasuna,24,La Liga,MF,9,873,1.1,0.1,1.1,0,0.6,0.6,0.1,0,6.24
Liam Henderson,Empoli,26,Serie A,MF,7,600,0.5,0.5,1.8,0,0.2,0.8,0.1,0,6.24
Matthis Abline,Rennes,19,Ligue 1,FW,0,96,0.1,0.2,0.3,0,0.1,0,0,0,6.24
Cédric Hountondji,Angers,28,Ligue 1,DF,15,1338,1,1.3,0.9,0.8,3,0.2,0.5,1,6.24
Nicolò Zaniolo,Roma,23,Serie A,MF,10,772,0.7,0.1,1.5,0,0,0.3,0,0,6.24
Taiwo Awoniyi,Nottingham Forest,25,Premier League,FW,6,512,0.4,0.1,0.5,0,0.5,0.1,0.1,0,6.24
Birger Meling,Rennes,27,Ligue 1,DF,2,276,0.3,0.6,0.8,0,0.7,0.1,0.1,0,6.24
Cédric Avinel,AC Ajaccio,36,Ligue 1,DF,8,696,0.7,1,0.6,0.4,4.3,0.1,0.4,0,6.24
Jens Stage,Werder Bremen,26,Bundesliga,MF,6,560,0.9,0.8,0.3,0,0.7,0.4,0.3,0,6.24
Daniel Caligiuri,Augsburg,34,Bundesliga,DF,2,255,0.7,0.3,0.5,0,0.2,0.1,0.2,0,6.24
Ismaël Diallo,AC Ajaccio,25,Ligue 1,DF,10,927,1.2,0.7,1.5,0.2,1.8,0.6,0.2,0,6.24
Achraf Dari,Brest,23,Ligue 1,DF,8,720,1.1,1.1,0.6,0.5,2.7,0.3,0.5,0,6.24
Helibelton Palacios,Elche,29,La Liga,DF,8,707,1.3,0.8,1.6,0.8,2.3,0.3,0.3,0,6.24
Adrien Tameze,Verona,28,Serie A,MF,12,1061,1.1,0.7,0.8,0.1,1.4,0.6,0.4,0,6.24
Kaan Ayhan,Sassuolo,28,Serie A,DF,5,543,1,0.5,0.4,0.5,2.5,0,0.4,0,6.24
Chris Wood,Newcastle,31,Premier League,FW,2,265,0.3,0,0.3,0,0.3,0.1,0.1,0,6.24
Lilian Egloff,Stuttgart,20,Bundesliga,MF,2,231,1.2,0.1,0.3,0,0.1,0.1,0,0,6.23
Brennan Johnson,Nottingham Forest,21,Premier League,MF,13,1189,0.5,0.1,0.8,0,0,0.1,0.1,0,6.23
Dimitri Foulquier,Valencia,29,La Liga,DF,2,283,0.4,0.2,1,0,0.4,0,0,0,6.23
Erik Botheim,Salernitana,22,Serie A,FW,3,326,0.3,0,0.5,0,0.1,0,0,0,6.23
Jaidon Anthony,Bournemouth,23,Premier League,MF,1,265,0.6,0,0.1,0,0.5,0.6,0,0,6.23
Domagoj Bradaric,Salernitana,22,Serie A,DF,4,501,0.6,0.4,0.5,0.1,0.5,0.2,0,0,6.23
Florent Ogier,Clermont Foot,33,Ligue 1,DF,7,670,1.3,0.6,0.6,0.2,1.8,0.7,0.9,0,6.23
Michel Aebischer,Bologna,25,Serie A,MF,7,623,0.2,0.2,0.5,0.1,0.2,0.3,0.1,0,6.23
Javi Hernández,Girona,24,La Liga,DF,4,364,0.5,0.2,0.2,0.4,0.8,0.1,0,0,6.23
Arnaut Danjuma,Villarreal,25,La Liga,MF,6,478,0.3,0,0.2,0,0.1,0.1,0,0,6.23
Rayan Raveloson,Auxerre,25,Ligue 1,MF,8,726,0.9,1.2,0.7,0.2,1,0.2,0.1,0,6.23
Raúl Guti,Elche,25,La Liga,MF,8,622,1.2,0.6,0.4,0,0.2,0.7,0.2,0,6.23
Anthony Lozano,Cadiz,29,La Liga,MF,8,757,0.1,0.2,1.8,0.2,0.9,0.2,0.1,0,6.22
Kristoffer Askildsen,Lecce,21,Serie A,MF,6,503,0.4,0.7,0.8,0,0.4,0.3,0.2,0,6.22
Moussa Diarra,Toulouse,22,Ligue 1,DF,5,551,1.2,1,0.8,0.2,1.2,0.3,0.4,0,6.22
Tom Cairney,Fulham,31,Premier League,MF,1,330,0.5,0.1,0.1,0,0,0,0.1,0,6.22
Kingsley Schindler,FC Koln,29,Bundesliga,DF,3,480,0.9,0.5,0.5,0.1,0.9,0.4,0.1,0,6.22
Radamel Falcao,Rayo Vallecano,36,La Liga,FW,3,398,0.3,0.1,0.8,0,0.6,0.3,0.1,0,6.22
Rafael Borré,Eintracht Frankfurt,27,Bundesliga,FW,4,400,0.4,0.1,0.5,0.1,0.3,0.1,0.1,0,6.22
Vasilios Lampropoulos,Bochum,32,Bundesliga,DF,5,475,0.8,1.1,0.6,1,3.3,0.1,0.3,0,6.22
Luca Pfeiffer,Stuttgart,26,Bundesliga,FW,4,404,0.1,0.1,0.9,0,0.3,0.1,0,0,6.22
Sergi Guardiola,Real Valladolid,31,La Liga,FW,6,381,1,0.2,1,0,0.5,0.2,0,0,6.22
Carles Pérez,Celta Vigo,24,La Liga,MF,7,599,0.9,0.1,0.8,0,0.3,0.4,0.1,0,6.22
Lorenzo De Silvestri,Bologna,34,Serie A,DF,5,517,0.2,0.2,0.4,0.2,1.3,0.3,0.6,1,6.22
Ibrahima Koné,Lorient,23,Ligue 1,FW,2,294,0.1,0.1,0.5,0,0.1,0.1,0,0,6.22
M'Baye Niang,Auxerre,27,Ligue 1,MF,7,561,0.3,0,1.5,0,0.7,0.2,0.1,0,6.22
Pietro Pellegri,Torino,21,Serie A,FW,4,370,0.4,0,0.8,0.1,0.2,0.1,0.1,0,6.21
Toma Basic,Lazio,26,Serie A,MF,3,274,0.3,0.3,0.5,0,0.3,0.2,0,0,6.21
Ondrej Duda,FC Koln,28,Bundesliga,MF,9,694,0.7,0.2,1.2,0,0.2,0.5,0.1,0,6.21
Robin Gosens,Inter,28,Serie A,DF,1,235,0.5,0.2,0.5,0,0.1,0.1,0,0,6.21
Tommaso Augello,Sampdoria,28,Serie A,DF,12,1090,0.4,0.4,0.4,0.4,0.9,0.2,0.2,0,6.21
Yayah Kallon,Verona,21,Serie A,FW,3,404,0.5,0.3,0.6,0,0.1,0.2,0,0,6.21
Lucas Pérez,Cadiz,34,La Liga,MF,5,589,0.2,0.1,0.4,0,0.2,0.2,0,0,6.2
Benjamin Lecomte,Espanyol,31,La Liga,GK,10,900,0,0,0.1,0,1,0,0,1,6.2
Jean-Philippe Mateta,Crystal Palace,25,Premier League,FW,2,276,0.2,0.1,0.6,0,0.6,0.2,0.1,0,6.2
Hugo Duro,Valencia,23,La Liga,MF,4,390,0.5,0,0.3,0,0.3,0.1,0,0,6.2
Mattia Destro,Empoli,31,Serie A,FW,6,459,0.1,0.1,0.9,0,0.4,0,0,0,6.2
Rodrigo Battaglia,Mallorca,31,La Liga,MF,7,594,1,0.5,0.9,0,1.5,0.5,0.6,0,6.2
Antonio Sánchez,Mallorca,25,La Liga,MF,7,579,0.4,0.6,1,0,0.1,0.7,0,0,6.2
Rubén Alcaraz,Cadiz,31,La Liga,MF,5,513,1.4,0.4,1,0,0.5,0.8,0,0,6.2
Abdou Harroui,Sassuolo,24,Serie A,MF,2,283,0.6,0,0.5,0,0.2,0.4,0.1,0,6.2
Eddie Nketiah,Arsenal,23,Premier League,FW,0,142,0.3,0.1,0.5,0,0.1,0.1,0,0,6.2
Kelechi Iheanacho,Leicester,26,Premier League,MF,1,211,0,0,0.1,0,0.1,0.1,0.1,0,6.19
Christian Gytkjær,Monza,32,Serie A,FW,2,331,0.5,0,0.7,0,0,0.1,0,0,6.19
Ryan Gravenberch,Bayern,20,Bundesliga,MF,0,175,0.6,0.2,0.4,0,0.3,0.2,0.1,0,6.19
Giacomo Quagliata,Cremonese,22,Serie A,DF,3,407,0.7,0.4,0.7,0.1,0.3,0.2,0.2,0,6.19
Kevin Lasagna,Verona,30,Serie A,MF,9,844,0.5,0.2,1.2,0,0.2,0.2,0.1,0,6.19
Jesse Lingard,Nottingham Forest,29,Premier League,MF,10,814,0.2,0.3,0.6,0,0.3,0.2,0,0,6.19
Arne Maier,Augsburg,23,Bundesliga,MF,6,530,0.8,0.2,0.6,0,0.3,0.2,0,0,6.19
Dimitrios Nikolaou,Spezia,24,Serie A,DF,13,1149,1.1,0.9,0.6,0.4,1.8,0.1,0.9,0,6.19
Jacob Bruun Larsen,Hoffenheim,24,Bundesliga,MF,3,290,0.3,0.1,0.1,0,0,0,0,0,6.19
Shon Weissman,Real Valladolid,26,La Liga,FW,5,559,0.1,0.1,0.4,0,0.4,0.2,0,0,6.19
Aleix Vidal,Espanyol,33,La Liga,DF,4,448,0.4,0.4,1,0.1,0.4,0.8,0.1,0,6.19
Silvère Ganvoula,Bochum,26,Bundesliga,FW,0,146,0.2,0,0.1,0,0.3,0,0,0,6.19
Ibrahima Diallo,Southampton,23,Premier League,MF,6,452,1.1,0.2,1.2,0,0.7,0.2,0,0,6.19
Daniel Ciofani,Cremonese,37,Serie A,FW,2,238,0.3,0,0.1,0,0.2,0.1,0,0,6.18
Nicolás Melamed,Espanyol,21,La Liga,MF,3,176,0.4,0.1,0.9,0,0.1,0.2,0,0,6.18
Jordan Larsson,Schalke,25,Bundesliga,MF,3,336,0.6,0.3,0.6,0,0.2,0.6,0,0,6.17
Tete Morente,Elche,26,La Liga,MF,8,719,0.8,0.4,1.1,0,0.7,0.5,0.1,0,6.17
Igor Julio,Fiorentina,24,Serie A,DF,8,724,1.2,0.9,1.2,0.6,1.7,0.4,0.6,0,6.17
Emmanuel Dennis,Nottingham Forest,25,Premier League,MF,3,342,0.4,0,0.7,0,0.1,0,0,0,6.16
Ismail Jakobs,Monaco,23,Ligue 1,DF,3,334,0.3,0.1,0.2,0.2,0.5,0.1,0,0,6.16
Sada Thioub,Angers,27,Ligue 1,MF,4,418,0.7,0.1,0.3,0,0.2,0.3,0,0,6.16
Tariq Lamptey,Brighton,22,Premier League,DF,0,181,0.2,0.3,0.4,0,0.2,0.1,0,0,6.16
Emmanuel Gyasi,Spezia,28,Serie A,MF,13,1045,0.7,0.2,1.2,0.1,0.6,0.5,0.2,0,6.16
Youssouf M'Changama,Auxerre,32,Ligue 1,MF,3,294,0.5,0.3,0.2,0,0.1,0.3,0,0,6.16
Mohamed Bayo,Lille,24,Ligue 1,FW,2,211,0.1,0,0.3,0,0,0.7,0,0,6.16
Youssef En-Nesyri,Sevilla,25,La Liga,FW,2,354,0.3,0.1,0.1,0,0.3,0.2,0.1,0,6.16
Rémy Dugimont,Auxerre,36,Ligue 1,FW,0,101,0.2,0,0.5,0,0.5,0.1,0,0,6.16
Francesco Caputo,Sampdoria,35,Serie A,FW,13,1100,0.2,0.1,0.3,0,0.2,0.2,0,0,6.16
Matteo Cancellieri,Lazio,20,Serie A,FW,1,184,0.5,0.1,0.8,0,0.2,0.2,0,0,6.15
Salvi Sánchez,Rayo Vallecano,31,La Liga,MF,3,259,0.7,0.2,0.3,0,0,0.2,0,0,6.15
Hwang Hee-Chan,Wolves,26,Premier League,MF,3,322,0.3,0,0.5,0,0.1,0.2,0,0,6.15
Abdallah Sima,Angers,21,Ligue 1,MF,6,554,0.5,0.2,0.8,0,0.5,0.3,0,0,6.15
Joe Gelhardt,Leeds,20,Premier League,FW,1,162,0.3,0,0.5,0,0.4,0.2,0,0,6.15
Fede San Emeterio,Cadiz,25,La Liga,MF,11,797,0.7,0.2,1.8,0,0.5,0.7,0.5,0,6.15
Jaime Seoane,Getafe,25,La Liga,MF,2,274,1.1,0.1,0.4,0,0.1,0.4,0.2,0,6.14
Billal Brahimi,Nice,22,Ligue 1,FW,3,323,0.1,0.2,0.2,0,0,0.2,0,0,6.14
Mateusz Klich,Leeds,32,Premier League,MF,0,188,1,0,0.6,0,0.1,0.4,0,0,6.14
Andrea Belotti,Roma,28,Serie A,FW,2,360,0.3,0.1,0.8,0,0.1,0.2,0.1,0,6.14
Raoul Bellanova,Inter,22,Serie A,MF,0,107,0.4,0.2,0,0,0.3,0,0.1,0,6.13
Kristijan Bistrovic,Lecce,24,Serie A,MF,5,436,0.3,0,0.2,0,0.3,0.4,0,0,6.13
Manolo Gabbiadini,Sampdoria,31,Serie A,MF,5,573,0.2,0.1,0.8,0,0.2,0.2,0,0,6.13
Domingos Quina,Elche,23,La Liga,MF,2,262,0.3,0.3,0.3,0,0,0.2,0,0,6.12
Kenan Karaman,Schalke,28,Bundesliga,MF,4,358,0.7,0.1,0.6,0,0.3,0.3,0,0,6.12
Josan,Elche,33,La Liga,DF,3,389,0.4,0,0.5,0.2,0.4,0.2,0,0,6.12
Willian José,Real Betis,31,La Liga,FW,2,264,0.4,0,0.1,0,0.5,0.3,0,0,6.12
Sébastien Corchia,Nantes,32,Ligue 1,DF,2,362,0.5,0.3,0.6,0,0.7,0.4,0.1,0,6.12
Florent Mollet,Schalke,31,Bundesliga,MF,4,408,0.4,0.1,0.4,0,0.1,0.6,0.1,0,6.11
Patrick Bamford,Leeds,29,Premier League,MF,4,429,0.3,0,0.7,0,0.5,0.7,0.1,0,6.11
Kevin Spadanuda,AC Ajaccio,25,Ligue 1,MF,6,464,0.7,0.5,1.2,0,0.3,0.7,0,0,6.11
Batista Mendy,Angers,22,Ligue 1,DF,13,1039,2.5,0.6,1.9,0.1,0.9,0.4,0.3,0,6.11
Nils Petersen,Freiburg,34,Bundesliga,FW,0,151,0.3,0.1,0.2,0,0.5,0.1,0.2,0,6.11
Patrick Osterhage,Bochum,22,Bundesliga,MF,3,337,0.7,0.4,0.9,0,0.8,0.2,0.2,0,6.1
Danny Latza,Schalke,33,Bundesliga,MF,1,178,0.6,0,0.7,0.1,0.3,0.2,0,0,6.1
Enzo Roco,Elche,30,La Liga,DF,10,798,1,0.5,1.5,1,1.9,0.4,0.5,0,6.09
Albin Ekdal,Spezia,33,Serie A,MF,5,493,0.9,0.5,0.8,0,0.7,0.8,0,0,6.08
Ado Onaiwu,Toulouse,27,Ligue 1,FW,0,279,0.4,0,0.3,0,0.1,0.1,0,0,6.08
Francisco Portillo,Almeria,32,La Liga,MF,1,196,0.3,0.2,0,0,0.2,0.3,0.1,0,6.08
Gonzalo Villar,Sampdoria,24,Serie A,MF,8,659,0.9,0.3,1.2,0,0.6,0.6,0.2,0,6.08
Delano Burgzorg,Mainz,24,Bundesliga,MF,0,204,0.3,0,0.4,0,0.1,0.1,0,0,6.07
Fabio Quagliarella,Sampdoria,39,Serie A,FW,2,324,0.1,0,0.3,0,0.3,0.3,0,0,6.06
Portu,Getafe,30,La Liga,MF,3,378,0.6,0.2,0.6,0,0.2,0.4,0,0,6.05
Carlos Vinícius,Fulham,27,Premier League,FW,3,325,0,0,0.7,0,0.3,0,0,0,6.05
Karamoko Dembele,Brest,19,Ligue 1,FW,0,92,0.1,0,0.2,0,0,0,0,0,6.04
Abdón Prats,Mallorca,30,La Liga,FW,1,130,0.1,0,0.2,0,0.2,0,0,0,6.04
Oier Zarraga,Athletic Bilbao,23,La Liga,MF,1,219,0,0.1,0.2,0,0,0.2,0,0,6.04
Irvin Cardona,Brest,25,Ligue 1,MF,1,225,0.2,0.2,0.5,0,0.2,0.3,0,0,6.04
Kévin Keben,Toulouse,18,Ligue 1,MF,3,298,0.3,0.4,0.2,0.2,0.6,0.1,0,0,6.04
Patrick Herrmann,Borussia M.Gladbach,31,Bundesliga,MF,0,107,0.3,0.1,0.2,0,0,0,0,0,6.01
Mikael Ellertsson,Spezia,20,Serie A,MF,1,164,0.4,0.2,0.5,0,0,0.3,0.1,0,5.98
