name,team,age,league,position,apps,minutesPlayed,goal,assistTotal,yellowCard,redCards,shotsPerGame,passRate,aerialWonPerGame,manOfMatch,rating
Salvi Sánchez,Rayo Vallecano,31,La Liga,MF,3,259,0,0,2,0,0.2,60.5,0.1,0,6.15
Hwang Hee-Chan,Wolves,26,Premier League,MF,3,322,0,1,0,0,0.5,72.7,0.1,0,6.15
Abdallah Sima,Angers,21,Ligue 1,MF,6,554,0,0,0,0,0.7,74.3,1.3,0,6.15
Joe Gelhardt,Leeds,20,Premier League,FW,1,162,0,1,1,0,0.7,76.5,0.5,0,6.15
Fede San Emeterio,Cadiz,25,La Liga,MF,11,797,0,0,4,0,0.2,81.4,0.7,0,6.15
Jaime Seoane,Getafe,25,La Liga,MF,2,274,0,0,0,0,0.1,81.7,0.1,0,6.14
Billal Brahimi,Nice,22,Ligue 1,FW,3,323,0,2,0,0,0.3,85.3,0.1,0,6.14
Mateusz Klich,Leeds,32,Premier League,MF,0,188,0,0,1,0,0.3,75,0.1,0,6.14
Andrea Belotti,Roma,28,Serie A,FW,2,360,0,0,0,0,0.8,69.6,0.5,0,6.14
Raoul Bellanova,Inter,22,Serie A,MF,0,107,0,0,0,0,0.2,89.8,0.1,0,6.13
Kristijan Bistrovic,Lecce,24,Serie A,MF,5,436,0,0,0,0,0.7,80.4,0.2,0,6.13
Manolo Gabbiadini,Sampdoria,31,Serie A,MF,5,573,1,1,2,0,1.7,67.9,1.2,0,6.13
Domingos Quina,Elche,23,La Liga,MF,2,262,0,0,1,0,0.7,84.6,0,0,6.12
Kenan Karaman,Schalke,28,Bundesliga,MF,4,358,0,0,2,0,1.3,68.5,1.3,0,6.12
Josan,Elche,33,La Liga,DF,3,389,1,0,3,0,0.2,81.6,0.3,0,6.12
Willian José,Real Betis,31,La Liga,FW,2,264,0,0,0,0,0.8,82.9,0.6,0,6.12
Sébastien Corchia,Nantes,32,Ligue 1,DF,2,362,0,0,1,0,0.1,75.8,0.2,0,6.12
Florent Mollet,Schalke,31,Bundesliga,MF,4,408,1,0,1,0,1.2,78,0.1,0,6.11
Patrick Bamford,Leeds,29,Premier League,MF,4,429,0,1,0,0,1.7,74.7,0.6,0,6.11
Kevin Spadanuda,AC Ajaccio,25,Ligue 1,MF,6,464,0,0,2,0,0.3,80.4,0.1,0,6.11
Batista Mendy,Angers,22,Ligue 1,DF,13,1039,0,0,4,1,0.2,84.4,0.7,0,6.11
Nils Petersen,Freiburg,34,Bundesliga,FW,0,151,0,0,0,0,0.3,52.9,0.3,0,6.11
Patrick Osterhage,Bochum,22,Bundesliga,MF,3,337,0,0,0,0,0.2,66.9,0.4,0,6.1
Danny Latza,Schalke,33,Bundesliga,MF,1,178,0,0,1,0,0.2,75.9,0.4,0,6.1
Enzo Roco,Elche,30,La Liga,DF,10,798,0,0,2,0,0.4,85.5,1.4,0,6.09
Albin Ekdal,Spezia,33,Serie A,MF,5,493,0,1,1,1,0.5,71.4,0.5,0,6.08
Ado Onaiwu,Toulouse,27,Ligue 1,FW,0,279,0,1,0,0,0.6,78.2,0.9,0,6.08
Francisco Portillo,Almeria,32,La Liga,MF,1,196,0,0,0,0,0,81.8,0.1,0,6.08
Gonzalo Villar,Sampdoria,24,Serie A,MF,8,659,0,0,2,0,0.1,84.3,0.6,0,6.08
Delano Burgzorg,Mainz,24,Bundesliga,MF,0,204,0,1,2,0,0.4,78.9,0,0,6.07
Fabio Quagliarella,Sampdoria,39,Serie A,FW,2,324,0,0,2,0,1.4,70,0.4,0,6.06
Portu,Getafe,30,La Liga,MF,3,378,0,0,0,1,0.5,79.2,0.3,0,6.05
Carlos Vinícius,Fulham,27,Premier League,FW,3,325,0,0,1,0,0.6,58.6,0.4,0,6.05
Karamoko Dembele,Brest,19,Ligue 1,FW,0,92,0,0,0,0,0.4,67.4,0,0,6.04
Abdón Prats,Mallorca,30,La Liga,FW,1,130,0,0,0,0,0.5,76.5,0.1,0,6.04
Oier Zarraga,Athletic Bilbao,23,La Liga,MF,1,219,0,0,1,0,0.8,87.2,0.3,0,6.04
Irvin Cardona,Brest,25,Ligue 1,MF,1,225,0,0,0,0,0.4,58.9,0.4,0,6.04
Kévin Keben,Toulouse,18,Ligue 1,MF,3,298,0,0,1,0,0.1,80.9,0.2,0,6.04
Patrick Herrmann,Borussia M.Gladbach,31,Bundesliga,MF,0,107,1,0,2,0,0.5,70,0.1,0,6.01
Mikael Ellertsson,Spezia,20,Serie A,MF,1,164,0,0,3,0,0.2,64.9,0.2,0,5.98
