name,team,age,league,position,apps,minutesPlayed,goal,assistTotal,yellowCard,redCards,shotsPerGame,passRate,aerialWonPerGame,manOfMatch,rating
Simon Zoller,Bochum,31,Bundesliga,MF,13,987,3,1,3,0,1.8,63.5,0.9,1,6.32
Valère Germain,Montpellier,32,Ligue 1,MF,2,287,2,0,0,1,0.7,75.2,1.5,0,6.32
Andoni Gorosabel,Real Sociedad,26,La Liga,DF,8,716,0,0,2,0,0.5,87.4,0.5,0,6.32
Remi Oudin,Lecce,26,Serie A,MF,1,210,0,0,1,0,0.8,62.6,0.4,0,6.32
Joan Jordán,Sevilla,28,La Liga,MF,9,687,0,0,2,0,0.6,86.9,0.5,0,6.32
Alex Král,Schalke,24,Bundesliga,MF,10,905,0,0,1,0,0.7,69.7,0.8,0,6.32
Federico Bonazzoli,Salernitana,25,Serie A,MF,9,735,1,1,1,0,1.6,76.7,0.1,0,6.32
Frank Onyeka,Brentford,24,Premier League,MF,4,439,0,1,0,0,0.3,75.6,0.4,0,6.32
José Morales,Villarreal,35,La Liga,DF,3,421,1,0,0,0,1,63.2,0.5,0,6.32
Iago,Augsburg,25,Bundesliga,DF,13,1093,0,1,2,1,0.5,63.1,0.5,0,6.32
Benjamin Leroy,AC Ajaccio,33,Ligue 1,GK,14,1179,0,0,0,0,0,56,0.1,0,6.32
Wilfred Ndidi,Leicester,25,Premier League,DF,7,637,0,0,2,0,0.2,87.7,0.5,0,6.32
Toni Villa,Girona,27,La Liga,MF,3,286,0,0,1,0,0.9,81.6,0,0,6.31
Javier Puado,Espanyol,24,La Liga,MF,8,751,1,0,0,0,1.5,83.7,0.2,0,6.31
Iddrisu Baba,Mallorca,26,La Liga,MF,6,547,0,0,2,0,0.1,85.2,0.6,0,6.31
Angelo Stiller,Hoffenheim,21,Bundesliga,MF,1,235,0,1,0,0,0.2,79.3,0.6,0,6.31
Pavel Kaderábek,Hoffenheim,30,Bundesliga,DF,5,596,1,0,0,0,0.2,70,0.5,0,6.31
Pascal Stenzel,Stuttgart,26,Bundesliga,DF,2,224,0,1,0,0,0.2,77.2,0,0,6.31
Scott McKenna,Nottingham Forest,26,Premier League,DF,14,1260,0,0,4,0,0.1,81.2,1.7,0,6.31
Kevin Kampl,RBL,32,Bundesliga,MF,9,722,0,0,4,0,0.3,91.2,0.2,0,6.31
Rasmus Højlund,Atalanta,19,Serie A,FW,4,433,1,1,1,0,1.1,76.6,0.9,0,6.31
Luka Milivojevic,Crystal Palace,31,Premier League,MF,2,274,0,0,0,0,0.6,83.4,0.6,0,6.31
Borja Mayoral,Getafe,25,La Liga,FW,14,1116,1,0,2,0,1.2,74.9,0.9,0,6.31
Davie Selke,Hertha Berlin,27,Bundesliga,FW,3,276,1,1,1,0,0.5,62.1,1.7,0,6.31
Nélson Semedo,Wolves,29,Premier League,DF,8,679,0,1,3,1,0.1,81.8,0.5,0,6.31
Samuel Moutoussamy,Nantes,26,Ligue 1,MF,10,832,0,1,4,0,1.1,85.6,0.4,0,6.31
Théo Bongonda,Cadiz,27,La Liga,MF,5,447,1,0,0,0,0.8,78.8,0.3,0,6.31
Enzo Ebosse,Udinese,23,Serie A,DF,7,760,0,0,3,0,0.2,83.4,1,0,6.31
Papu Gómez,Sevilla,34,La Liga,MF,6,647,0,1,4,0,1.3,91.3,0.2,0,6.31
Amadou Haidara,RBL,24,Bundesliga,MF,4,465,1,1,2,0,0.8,83,0.4,0,6.31
Shandon Baptiste,Brentford,24,Premier League,MF,4,428,0,0,1,0,0.2,84.3,0.3,0,6.31
Bonke Innocent,Lorient,26,Ligue 1,MF,7,612,0,1,2,0,0.2,90.8,0.3,0,6.31
Agustín Álvarez Martínez,Sassuolo,21,Serie A,FW,0,163,1,1,1,0,1.1,87.2,0.6,0,6.31
Milan Djuric,Verona,32,Serie A,FW,2,277,0,0,2,0,0.3,49.5,4.3,0,6.3
Florian Dietz,FC Koln,24,Bundesliga,FW,4,394,1,0,1,0,1.5,55.1,2.2,0,6.3
Gumbau,Elche,27,La Liga,MF,9,834,0,3,5,0,0.6,84.1,0.4,0,6.3
Jordi Osei-Tutu,Bochum,24,Bundesliga,DF,5,495,0,0,1,0,0.7,75,0.2,0,6.3
Alfred Duncan,Fiorentina,29,Serie A,MF,2,285,0,0,0,0,0.1,79.1,0.3,0,6.3
Óscar Mingueza,Celta Vigo,23,La Liga,DF,4,475,0,0,2,0,0.3,84.4,0.3,0,6.3
Ronaldo Vieira,Sampdoria,24,Serie A,MF,5,531,0,0,1,0,0.2,91.1,0.6,0,6.3
Sebastian Polter,Schalke,31,Bundesliga,MF,4,458,1,2,2,0,0.4,56.9,1.9,0,6.3
Islam Slimani,Brest,34,Ligue 1,FW,10,837,1,1,4,0,1.2,73.1,1.8,0,6.3
Sven Michel,Union Berlin,32,Bundesliga,MF,0,220,3,0,2,0,0.5,62.2,1.2,0,6.3
