name,team,age,position,apps,minutesPlayed,assistTotal,keyPassPerGame,totalPassesPerGame,passSuccess,accurateCrossesPerGame,accurateLongPassPerGame,accurateThroughBallPerGame,rating
Matthijs de Ligt,"Bayern,",23,", D(C)",9(3),768,0,0.2,52.2,91.9,0,1.8,0,6.82
Edgar González,"Real Betis,",25,", D(C),DMC",9(2),844,0,0.1,39.1,88.8,0,2,0,6.82
Georginio Rutter,"Hoffenheim,",20,", FW",11(4),1010,2,0.7,9.8,63.9,0.1,0.5,0,6.82
Danilo Pereira,"PSG,",31,", D(C),DMC",8(3),688,0,0.1,45.7,93.4,0,1.9,0,6.82
Mario Götze,"Eintracht Frankfurt,",30,", M(CLR),FW",15,1254,1,1.3,47.1,77.9,0.4,1,0.4,6.82
Jonathan Gradit,"Lens,",30,", D(CR)",10,799,2,0.4,59.4,91.6,0.1,2.6,0,6.82
Mërgim Berisha,"Augsburg,",24,", AM(C),FW",10,790,4,1.5,13.5,50.4,1.3,0.4,0,6.82
Morten Hjulmand,"Lecce,",23,", DMC",14,1175,2,0.6,31.9,76.9,0,2.3,0,6.81
Matteo Politano,"Napoli,",29,", AM(CLR),FW",7(7),607,3,1.5,19.4,79.4,0.5,1,0.1,6.81
Tammy Abraham,"Roma,",25,", FW",12(3),1049,1,1.1,14.8,74.3,0.1,0.6,0.1,6.81
Armel Bella-Kotchap,"Southampton,",20,", D(C)",11,906,1,0.2,37.6,76.6,0,2.1,0,6.81
Ridle Baku,"Wolfsburg,",24,", D(R),M(CR)",14(1),1282,1,1,40.3,78.5,0.5,2.7,0.1,6.81
Angeliño,"Hoffenheim,",25,", D(L),M(L)",13(1),1175,3,2.1,33.9,69,2.3,1.8,0,6.81
Sven Botman,"Newcastle,",22,", D(C)",12(1),1059,0,0.5,43.6,85.7,0,3.3,0,6.81
Etienne Capoue,"Villarreal,",34,", D(C),M(CL)",10,840,0,0.3,44.8,88.4,0,1.3,0.1,6.81
David Soria,"Getafe,",29,", GK",14,1260,0,0.1,25.5,51,0,9.6,0,6.8
