name,team,age,position,apps,minutesPlayed,assistTotal,keyPassPerGame,totalPassesPerGame,passSuccess,accurateCrossesPerGame,accurateLongPassPerGame,accurateThroughBallPerGame,rating
Vitaly Janelt,"Brentford,",24,", DMC",11(4),993,1,0.4,28.7,86.5,0.1,2.1,0,6.69
Joe Aribo,"Southampton,",26,", M(CLR),FW",10(5),948,0,0.6,20.4,73.9,0,0.3,0,6.69
Perr Schuurs,"Torino,",23,", D(C)",9(1),709,0,0,29.9,84.3,0,1.8,0,6.69
Emil Holm,"Spezia,",22,", M(R)",12(2),1035,1,0.9,22.1,64.2,0.4,0.2,0,6.69
Zeki Çelik,"Roma,",25,", D(R),M(R)",6(4),637,0,1.2,31.9,76.2,0.4,1.9,0,6.69
Thiago Mendes,"Lyon,",30,", D(CR),M(CR)",14,1171,1,0.2,64.3,84.2,0,3.7,0.1,6.69
Jonas Omlin,"Montpellier,",28,", GK",10,808,0,0,25.9,68.3,0,4.1,0,6.69
John Stones,"Man City,",28,", D(CR)",8(1),731,2,0.6,68.6,94.7,0,2.6,0,6.68
Yannick Gerhardt,"Wolfsburg,",28,", D(L),M(CL)",8(2),700,0,0.9,23.9,74.9,0.2,1,0,6.68
Emanuel Aiwu,"Cremonese,",21,", D(C)",11(2),969,0,0.2,33.2,81.2,0.1,1.5,0.1,6.68
Nathan Patterson,"Everton,",21,", D(R),M(R)",8(2),765,0,0.3,27.5,79.6,0.1,0.9,0,6.68
Oihan Sancet,"Athletic Bilbao,",22,", M(C),FW",13(1),949,0,1,25.5,86.8,0,0.6,0.1,6.68
Illan Meslier,"Leeds,",22,", GK",14,1260,0,0,24.7,54.9,0,3,0,6.68
Arnau Martinez,"Girona,",19,", D(R)",10(1),814,1,1.4,33.8,81.2,0.5,0.8,0,6.68
Roque Mesa,"Real Valladolid,",33,", DMC",11(1),869,1,1,38.8,84.1,0.2,4.7,0.2,6.68
Dennis Geiger,"Hoffenheim,",24,", M(C)",14,1014,2,1.6,32.5,87,0.5,2.3,0,6.68
Tiago Djaló,"Lille,",22,", D(CLR)",13(1),1109,0,0.1,54.5,92.1,0,2.6,0,6.68
Florian Lejeune,"Rayo Vallecano,",31,", D(C)",12,951,0,0.3,43.7,82.3,0,4.4,0,6.68
Morgan Gibbs-White,"Nottingham Forest,",22,", AM(CR),FW",12(1),1039,2,1.5,26.2,68.2,1.2,0.9,0.4,6.68
Hans Hateboer,"Atalanta,",28,", D(R),M(R)",12,1047,0,0.8,33.7,80.4,0.5,1.2,0.1,6.68
Raheem Sterling,"Chelsea,",27,", M(CLR),FW",11(1),956,1,1.5,24.6,75.9,0.5,0.2,0.1,6.68
Faitout Maouassa,"Montpellier,",24,", D(L),M(LR)",8(5),657,4,0.9,9.8,68.5,0.8,0.4,0.1,6.68
Manuel Riemann,"Bochum,",34,", GK",15,1350,0,0.1,49.2,59.2,0.1,17.9,0,6.68
Dominik Kohr,"Mainz,",28,", DMC",14,1178,0,0.6,43.1,72.6,0,1.8,0.2,6.68
Maximiliano Caufriez,"Clermont Foot,",25,", D(CR)",9,790,0,0,46.1,88.4,0,2.8,0,6.68
Ansu Fati,"Barcelona,",20,", AM(L)",3(11),462,3,0.4,14.9,86.1,0.1,0.1,0,6.68
Leon Bailey,"Aston Villa,",25,", M(CLR),FW",11(3),833,2,0.9,13.4,69.1,0.9,0.3,0.1,6.67
Mostafa Mohamed,"Nantes,",25,", FW",8(7),839,2,0.7,9,60.7,0.1,0.1,0,6.67
Matteo Pessina,"Monza,",25,", AM(CR)",12(1),997,1,0.8,43.3,89,0.3,1.5,0.1,6.67
Domingos Duarte,"Getafe,",27,", D(C)",13,1126,2,0.2,30.8,79.5,0,3,0,6.67
Marcelo Brozovic,"Inter,",30,", M(CR)",7(3),621,0,0.4,47.3,87.7,0.1,2.7,0.1,6.67
Alex Meret,"Napoli,",25,", GK",15,1350,0,0,24.8,83.1,0,3.7,0,6.67
Adrián Embarba,"Almeria,",30,", AM(CLR),FW",5(4),424,3,1.2,14,73.8,1.1,1.2,0,6.67
Léo Baptistão,"Almeria,",30,", AM(CLR),FW",8(3),569,2,0.7,15.5,67.1,0.3,0.6,0.1,6.67
Waldemar Anton,"Stuttgart,",26,", D(CR),DMC",15,1346,0,0.4,59.7,81.8,0.3,3.4,0,6.67
Alex Sandro,"Juventus,",31,", D(CL),M(L)",9(4),780,1,0.5,36,87.4,0.2,2.5,0,6.67
Lassana Coulibaly,"Salernitana,",26,", M(CL)",14,1168,1,0.6,32.5,85.3,0,0.5,0.1,6.67
Beto,"Udinese,",24,", FW",7(8),687,0,0.5,6.5,55.7,0,0.1,0,6.67
Fabinho,"Liverpool,",29,", D(CR),DMC",11(3),998,0,0.4,52.1,88.2,0,2.7,0.1,6.67
Anthony Jung,"Werder Bremen,",31,", D(CL),M(L)",14(1),1150,2,0.8,36,79.4,0.5,1.7,0,6.67
Fran García,"Rayo Vallecano,",23,", D(L)",14,1260,2,0.9,41.8,85.6,1,1.6,0,6.67
Leonardo Bonucci,"Juventus,",35,", D(C)",6(3),596,0,0.2,38.9,85.4,0,3.4,0.1,6.66
Edgar Badia,"Elche,",30,", GK",14,1260,0,0,26.3,69,0,7.9,0,6.66
Sergio Camello,"Rayo Vallecano,",21,", FW",11(3),940,2,0.9,12.8,81.6,0,0.4,0.1,6.66
Sebastian Rode,"Eintracht Frankfurt,",32,", D(R),M(C)",8(4),604,1,0.6,28.6,86.6,0,1.1,0.1,6.66
Vitaliy Mykolenko,"Everton,",23,", D(CL),M(L)",15,1285,0,0.7,35.6,77,0.7,1.2,0,6.66
Luis Alberto,"Lazio,",30,", AM(CL),FW",5(8),541,1,0.9,28.8,85.6,0.5,1.3,0.3,6.66
Maxence Caqueret,"Lyon,",22,", DMC",11(3),976,1,1,49.3,87.1,0.3,1.8,0.1,6.66
Predrag Rajkovic,"Mallorca,",27,", GK",14,1260,0,0,30.2,59.6,0,8.5,0,6.66
Boubakary Soumaré,"Leicester,",23,", DMC",9(2),675,0,0.2,34,91.4,0,1.3,0.1,6.66
Grischa Prömel,"Hoffenheim,",27,", M(C)",13,1074,1,0.6,25.8,79.8,0.2,0.9,0,6.66
Wahbi Khazri,"Montpellier,",31,", M(CLR),FW",8(3),711,1,0.5,16.4,77.2,0.1,1.1,0,6.66
Sergi Roberto,"Barcelona,",30,", D(R),M(CR)",3(6),371,0,0.3,29,93.9,0.4,1.2,0,6.66
Ferland Mendy,"Real Madrid,",27,", D(L),M(L)",11,890,1,1,47.5,92.5,0.1,1.3,0,6.66
Jubal,"Auxerre,",29,", D(C)",15,1350,1,0.1,38.9,86.8,0.1,5.1,0,6.66
Koray Günter,"Verona,",28,", D(C)",11(2),1003,1,0.6,32.1,77,0.1,3,0,6.66
Kai Havertz,"Chelsea,",23,", M(CR),FW",11(2),889,0,0.5,21.6,80.1,0.1,0.2,0,6.66
Muhammed Cham,"Clermont Foot,",22,", AM(C)",10(5),867,2,1.1,28.3,84.2,0.5,1.3,0.2,6.66
Vincent Le Goff,"Lorient,",33,", D(L),M(L)",15,1350,0,0.3,43.2,82.9,0.4,1.3,0.1,6.66
Munas Dabbur,"Hoffenheim,",30,", AM(C),FW",4(6),422,0,0.8,13.8,73.9,0.1,0.4,0,6.66
Jeffrey Gouweleeuw,"Augsburg,",31,", D(C)",14,1197,0,0.4,35.9,66.2,0,3.6,0.1,6.65
Koke,"Atletico,",30,", M(CLR)",8(2),743,2,1,45.6,84.9,0.2,2,0,6.65
Kurt Zouma,"West Ham,",28,", D(CR)",14,1185,0,0,40.9,86.2,0,2.4,0,6.65
Flavius Daniliuc,"Salernitana,",21,", D(CR)",9(1),843,1,0.2,51.1,88.8,0,4.5,0,6.65
Justin Kluivert,"Valencia,",23,", AM(LR)",5(5),520,0,1.1,12.9,80.6,0.5,0.4,0,6.65
João Félix,"Atletico,",23,", AM(CL),FW",5(7),512,3,0.7,13.4,75.8,0.1,0.3,0.4,6.65
Danilo Cataldi,"Lazio,",28,", M(C)",12(1),920,0,0.8,44,88.5,1,2.2,0,6.65
Yvon Mvogo,"Lorient,",28,", GK",14,1183,0,0,26.8,69.6,0,5.9,0,6.65
Massadio Haïdara,"Lens,",30,", D(CL),M(L)",8(6),739,0,0.2,30.9,89.4,0,1.1,0,6.65
Ederson,"Man City,",29,", GK",14,1260,1,0.1,32.9,86.6,0,4.6,0.1,6.65
Adam Marusic,"Lazio,",30,", D(CLR),M(LR)",14(1),1302,1,0.2,48.6,89.3,0.1,1.8,0,6.65
Saúl Ñíguez,"Atletico,",28,", D(CL),M(CLR)",6(5),464,1,0.1,18.2,77.5,0,0.5,0,6.65
Jordan Ayew,"Crystal Palace,",31,", AM(CLR),FW",11(3),907,1,1,19.8,83.4,0.2,0.2,0,6.65
Lukasz Skorupski,"Bologna,",31,", GK",15,1350,0,0,30.3,73.8,0,5.7,0,6.65
Robin Knoche,"Union Berlin,",30,", D(C)",14,1260,0,0.1,50.6,81.2,0,4.9,0,6.65
Germán Pezzella,"Real Betis,",31,", D(C)",10(2),912,0,0.1,42,88.5,0,2.3,0.1,6.65
Íñigo Lekue,"Athletic Bilbao,",29,", D(LR),M(LR)",10(2),949,1,0.7,41.1,82.8,0.4,2.4,0,6.65
Castello Lukeba,"Lyon,",19,", D(C)",14,1260,0,0.1,67.9,88.9,0,1.7,0,6.65
Gianluca Mancini,"Roma,",26,", D(C),DMC",15,1200,1,0.4,45.5,84.9,0.2,3.1,0,6.65
Tom Krauß,"Schalke,",21,", DMC",15,1239,0,0.1,24.9,75.4,0,0.9,0,6.65
Memeh Okoli,"Atalanta,",21,", D(C)",9(4),842,0,0,29.3,76.9,0,1.4,0,6.65
Yannick Carrasco,"Atletico,",29,", M(CLR),FW",8(5),742,0,1.4,22.9,84.2,0.8,0.7,0.1,6.65
Pau Torres,"Villarreal,",25,", D(C)",13,1170,0,0.7,59.1,86.6,0,4.9,0,6.64
Anthony Gordon,"Everton,",21,", AM(LR)",11(3),986,0,0.6,16.3,77.2,0.2,0.4,0.1,6.64
Steffen Tigges,"FC Koln,",24,", FW",9(3),726,0,0.7,11.5,58,0,0.4,0,6.64
Patrik Schick,"Leverkusen,",26,", AM(R),FW",10(1),861,0,0.8,19.7,70,0.1,0.1,0,6.64
Tuta,"Eintracht Frankfurt,",23,", D(C)",15,1341,0,0.1,54.2,80.4,0,2.1,0,6.64
Joaquín Fernández,"Real Valladolid,",26,", D(C),DMC",10(2),955,0,0.2,37.5,84,0,3.1,0,6.64
Ricardo Rodríguez,"Torino,",30,", D(CL),M(L)",10(3),946,0,0.4,47,85.8,0.3,2.5,0,6.64
Edimilson Fernandes,"Mainz,",26,", D(C),M(CR)",9(4),821,1,0.5,29.1,75.1,0.4,3.4,0,6.64
Corentin Tolisso,"Lyon,",28,", D(R),M(CR)",7(3),546,0,1.4,48.7,88.5,0.4,3.7,0.3,6.64
Óliver Torres,"Sevilla,",28,", M(CLR)",12,860,0,1.1,33.9,80.1,0.3,2.6,0.1,6.64
André Silva,"RBL,",27,", FW",9(6),796,1,0.9,15.3,72.5,0,0.2,0.1,6.64
Ashley Young,"Aston Villa,",37,", D(LR),M(LR)",7(4),726,0,0.8,28.2,76.8,0.5,2.1,0.2,6.64
Marco Silvestri,"Udinese,",31,", GK",15,1350,0,0,24.1,73.1,0,4.9,0,6.64
Arnaud Kalimuendo,"Rennes,",20,", FW",8(2),610,1,0.3,13.2,83.3,0,0.2,0,6.64
Matteo Bianchetti,"Cremonese,",29,", D(C)",9(2),905,0,0.2,32.4,78.7,0.1,1.7,0,6.64
Filippo Bandinelli,"Empoli,",27,", M(C)",13(2),1060,0,1.1,25.5,76.5,1,0.9,0,6.64
Oliver Christensen,"Hertha Berlin,",23,", GK",15,1350,0,0,32.7,67.8,0,8.1,0,6.64
Lucas Torró,"Osasuna,",28,", DMC",14,1127,0,0.2,33.9,82.1,0,0.9,0,6.64
Lee Jae-Sung,"Mainz,",30,", AM(CLR),FW",10(5),821,1,0.9,24.4,77,0.2,0.7,0,6.64
Komnen Andric,"Clermont Foot,",27,", FW",13(2),1020,1,0.5,19.9,76.8,0,0.7,0,6.64
Jhon Lucumí,"Bologna,",24,", D(C)",12,1012,1,0.3,49.7,86.2,0.1,3,0,6.64
Idrissa Gueye,"Everton,",33,", M(C)",9(1),742,0,0.2,42.2,85.5,0,1.2,0,6.64
Mehdi Bourabia,"Spezia,",31,", M(C)",14(1),1142,1,1.2,38.6,80.3,0.4,1.5,0.1,6.63
Robert Skov,"Hoffenheim,",26,", D(L),M(LR)",12(2),941,1,1.1,26.1,72.1,0.9,1.6,0,6.63
Janik Haberer,"Union Berlin,",28,", M(CLR),FW",13,859,1,0.8,16.1,68.4,0.2,0.6,0.1,6.63
Jaume Costa,"Mallorca,",34,", D(LR),M(L)",11,966,1,1,29.9,79,0.7,1.5,0,6.63
Giorgi Mamardashvili,"Valencia,",22,", GK",14,1260,0,0,25.6,76.3,0,4.1,0,6.63
Harvey Elliott,"Liverpool,",19,", AM(CR)",10(4),862,1,0.9,35.6,83.4,0.2,1.1,0.2,6.63
Maximilian Eggestein,"Freiburg,",25,", M(CR)",11(3),1021,2,0.8,26.6,79,0.1,0.6,0.1,6.63
Weston McKennie,"Juventus,",24,", D(C),M(CLR)",9(2),723,1,0.6,21.5,82.6,0.5,0.9,0.1,6.63
Marvin Plattenhardt,"Hertha Berlin,",30,", D(L),M(L)",13,1000,2,1.3,28.3,75,1.6,1,0,6.63
Angel Gomes,"Lille,",22,", M(CL),FW",14,1107,1,0.9,50,88.3,0.5,3.1,0.1,6.63
Ethan Ampadu,"Spezia,",22,", D(C),DMC",10,838,1,0.7,42.6,76.5,0.3,3.1,0.1,6.63
Emil Audero,"Sampdoria,",25,", GK",15,1350,0,0,30.6,63.2,0,6.9,0,6.63
Romain Perraud,"Southampton,",25,", D(L),M(L)",10(3),854,2,0.8,23.3,76.2,0.5,0.4,0.1,6.63
Maxence Lacroix,"Wolfsburg,",22,", D(C)",9(1),805,0,0.1,55,86.5,0,5.2,0,6.63
Manuel Lazzari,"Lazio,",29,", D(R),M(R)",13,1002,0,0.2,36.2,89.1,0.2,1,0,6.63
Maya Yoshida,"Schalke,",34,", D(CR)",15,1339,0,0.1,44.1,77.8,0.1,3.5,0,6.63
Nemanja Matic,"Roma,",34,", DMC",7(8),794,1,0.7,38.7,85.7,0.1,2.6,0,6.63
Andy Delort,"Nice,",31,", AM(R),FW",9(3),749,0,0.8,16.7,65,0.1,0.8,0,6.63
Franco Cervi,"Celta Vigo,",28,", AM(CL)",12(1),1025,2,0.8,25.5,77.4,0.7,0.5,0,6.63
Odsonne Édouard,"Crystal Palace,",24,", AM(L),FW",9(4),771,2,0.8,13.9,77.9,0,0,0,6.63
Tim Ream,"Fulham,",35,", D(CL),DMC",15,1348,0,0,55.2,85.9,0,3.5,0,6.63
Ollie Watkins,"Aston Villa,",26,", AM(LR),FW",13(1),1173,3,0.8,19.4,72,0.1,0.3,0,6.63
Bradley Locko,"Reims,",20,", D(L),M(L)",13(1),1058,0,0.6,25.1,81.2,0.2,1,0.1,6.62
Nicolas Cozza,"Montpellier,",23,", D(CL)",14(1),1236,1,0.5,31.9,72.9,0.3,1.5,0.1,6.62
Youssouf Sabaly,"Real Betis,",29,", D(LR),M(R)",7(2),631,0,0.7,33.1,82.6,0,0.7,0,6.62
Álex Baena,"Villarreal,",21,", AM(C)",5(8),626,0,0.8,15.2,77.7,0.2,0.5,0.2,6.62
Christopher Jullien,"Montpellier,",29,", D(C)",10,900,0,0.3,35.6,82.9,0,2.6,0,6.62
Demarai Gray,"Everton,",26,", AM(CLR),FW",15,1289,0,1.3,24.1,79.3,1.5,0.9,0,6.62
Wesley Saïd,"Lens,",27,", AM(CLR),FW",4(8),398,0,0.5,9.9,84.9,0.1,0.4,0,6.62
Sasa Lukic,"Torino,",26,", M(C)",10(2),924,0,1,43.7,88.7,0.5,2.7,0,6.62
Robert Andrich,"Leverkusen,",28,", M(C)",12(1),982,2,0.6,45.6,84,0.1,1.6,0,6.62
Chris Führich,"Stuttgart,",24,", M(CLR),FW",10(4),880,0,0.9,20.1,79.7,0.4,0.8,0.1,6.62
Wilfried Kanga,"Hertha Berlin,",24,", FW",10(4),938,0,1.1,11.9,65.3,0.1,0,0,6.62
Axel Witsel,"Atletico,",33,", D(C),M(C)",12(2),1068,0,0.2,46.9,93.6,0,1.1,0,6.62
Martin Valjent,"Mallorca,",26,", D(C)",13,1156,0,0.2,38.8,82.3,0,3.4,0,6.62
Pedro,"Lazio,",35,", M(CLR),FW",5(8),679,2,0.6,25.9,83.4,0.2,0.9,0,6.62
Robert Gumny,"Augsburg,",24,", D(CLR)",9(2),836,1,0.5,21.6,61.3,0.3,1.6,0,6.62
Marin Pongracic,"Lecce,",25,", D(C)",9,792,0,0.2,40.1,82,0,3.2,0,6.62
Lorenzo Montipò,"Verona,",26,", GK",15,1350,0,0,27.7,62.3,0,7.8,0,6.62
Juan Bernat,"PSG,",29,", D(L),M(CL)",7(4),598,0,0.5,29.8,92.7,0.2,0.2,0,6.62
Raphaël Varane,"Man Utd,",29,", D(C)",8(2),686,0,0.3,32.1,83.8,0,1.7,0,6.62
Emerson Royal,"Tottenham,",23,", D(R),M(R)",11(1),904,1,0.4,37,82,0.3,1.5,0,6.62
Kike Pérez,"Real Valladolid,",25,", AM(C)",11(2),968,1,0.8,38.1,80.4,0.5,3.2,0.1,6.62
Renaud Ripart,"Troyes,",29,", D(R),M(CLR),FW",8(6),747,1,1.1,18,73,0.1,0.4,0,6.62
Gavin Bazunu,"Southampton,",20,", GK",15,1350,0,0.1,34.3,57.4,0,8.9,0,6.61
Jirí Pavlenka,"Werder Bremen,",30,", GK",15,1289,0,0,32.5,67.2,0,8.6,0,6.61
Mario Pasalic,"Atalanta,",27,", M(CLR)",11(3),879,2,0.7,22.6,80.7,0.1,0.8,0,6.61
Pablo Maffeo,"Mallorca,",25,", D(R),M(R)",12,1020,0,0.8,24.8,72.8,0.6,1.3,0,6.61
Óscar Plano,"Real Valladolid,",31,", AM(CLR),FW",8(6),831,1,0.5,15.9,76.2,0.3,0.7,0.1,6.61
Crysencio Summerville,"Leeds,",21,", AM(R)",4(6),468,0,0.5,15.4,77.9,0.1,0.1,0,6.61
Thomas Lemar,"Atletico,",27,", AM(CLR)",5(4),391,2,1.4,26.6,89.5,0.4,1.4,0.2,6.61
Evan Ndicka,"Eintracht Frankfurt,",23,", D(CL)",15,1343,0,0.1,55.4,86.6,0,2.7,0,6.61
Juan Iglesias,"Getafe,",24,", D(LR),M(R)",11(2),1026,0,0.5,23.7,65.3,0.9,1.5,0,6.61
Mikkel Desler,"Toulouse,",27,", D(R)",12,1009,1,0.5,43.8,85.5,0.3,1.3,0,6.61
Lukas Nmecha,"Wolfsburg,",23,", AM(CR),FW",10(2),822,0,0.3,14.7,65.3,0.1,0.4,0,6.61
Tyler Adams,"Leeds,",23,", D(R),M(CR)",13,1167,0,1.2,57.1,82.3,0,1.8,0.1,6.61
Xavier Chavalerin,"Troyes,",31,", DMC,M(L)",7(6),720,1,0.6,26.9,86.3,0.5,1.2,0.1,6.61
Désiré Doué,"Rennes,",17,", Midfielder",3(8),401,0,0.4,13.2,84.8,0.4,0.4,0,6.61
Sead Kolasinac,"Marseille,",29,", D(CL),DMC,M(L)",6(5),491,1,0.1,23.4,82.9,0,0.5,0,6.61
Hugo Guillamón,"Valencia,",22,", D(C),DMC",11(2),919,4,1.5,46.7,84.7,0.9,4.3,0,6.61
Jean-Charles Castelletto,"Nantes,",27,", D(C)",11(2),929,0,0.1,36.6,81.1,0.2,1.5,0,6.61
David Okereke,"Cremonese,",25,", AM(CLR),FW",13(2),1155,0,0.9,15.3,69.6,0.4,0.6,0,6.61
Marten de Roon,"Atalanta,",31,", D(C),DMC",12(1),1030,1,0.3,39.5,79.1,0,3.2,0,6.61
Nuno da Costa,"Auxerre,",31,", AM(LR),FW",9(3),807,0,0.8,11.8,68.8,0.1,0.6,0.1,6.61
Bartlomiej Dragowski,"Spezia,",25,", GK",14,1213,0,0,27.9,63.2,0,5.9,0,6.61
Saîf-Eddine Khaoui,"Clermont Foot,",27,", AM(CR)",8(6),744,2,1.1,17.7,74.2,0.4,0.6,0.1,6.61
Kerem Demirbay,"Leverkusen,",29,", M(C)",9(5),788,3,0.9,34.4,79.3,0.8,1.4,0.1,6.6
Mateusz Wieteska,"Clermont Foot,",25,", D(C)",15,1350,1,0.2,48.7,83.6,0,2.1,0,6.6
Valentín Castellanos,"Girona,",24,", AM(R),FW",14,1122,0,0.6,12.6,67.8,0.1,0.4,0.1,6.6
Alberto Grassi,"Empoli,",27,", DMC",4(5),325,0,0.3,17.9,80.1,0,0.8,0,6.6
Samuele Ricci,"Torino,",21,", M(C)",8(1),713,1,0.3,42.8,91.4,0,1.6,0.1,6.6
Harrison Reed,"Fulham,",27,", D(R),M(CR)",14,1180,1,1.3,30.5,75.6,0.5,1,0,6.6
Sean Longstaff,"Newcastle,",25,", DMC",11(4),1052,2,0.9,31.5,81.6,0.3,1.3,0.1,6.6
Marco Reus,"Borussia Dortmund,",33,", M(CLR),FW",7(2),640,2,0.8,24.1,77.9,0.1,0.2,0,6.6
Arthur Theate,"Rennes,",22,", D(C)",15,1350,0,0.3,70.1,89.1,0,3.9,0,6.6
Patson Daka,"Leicester,",24,", FW",7(7),641,2,0.6,9.6,67.4,0.1,0,0.2,6.6
Thijs Dallinga,"Toulouse,",22,", FW",12(2),907,1,0.8,13.5,67.7,0,0.2,0,6.6
Stephane Singo,"Torino,",21,", M(R)",8(3),750,1,0.7,29.5,76.6,0.3,1.5,0.1,6.6
Jan Thielmann,"FC Koln,",20,", AM(CLR),FW",5(5),488,1,0.3,10.4,68.3,0.4,0.4,0,6.6
Christian Eriksen,"Man Utd,",30,", M(CLR),FW",12(1),1048,4,1.4,50.3,82,0.7,2.8,0.2,6.6
Dimitri Payet,"Marseille,",35,", M(CLR),FW",5(7),464,3,1.7,18.3,79.5,0.6,1.1,0,6.6
Dwight McNeil,"Everton,",23,", AM(CLR)",8(7),735,0,0.7,16.5,80.2,0.7,0.6,0.1,6.6
Tosin Adarabioyo,"Fulham,",25,", D(CR)",10,900,0,0.1,47.9,80.2,0.1,2.4,0,6.6
Hiroki Ito,"Stuttgart,",23,", D(C)",12(1),1077,1,0.8,55.1,81.4,0.4,5.8,0,6.6
Geoffrey Kondogbia,"Atletico,",29,", D(C),DMC",8(3),720,1,0.4,39.7,89.9,0,1.6,0,6.6
Niklas Stark,"Werder Bremen,",27,", D(C),DMC",6(4),644,0,0.2,41.2,82,0,3.4,0,6.6
Aleksey Miranchuk,"Torino,",27,", M(CR),FW",9,684,1,1.8,24.3,84,0.2,1.1,0,6.6
Bobby De Cordova-Reid,"Fulham,",29,", D(R),M(CLR),FW",14,1216,1,0.6,30.4,72.9,0.6,1,0,6.6
Petar Stojanovic,"Empoli,",27,", D(R),M(R)",11(1),949,1,0.8,37.7,76.5,0.5,2.4,0,6.6
Ansgar Knauff,"Eintracht Frankfurt,",20,", M(LR)",7(4),639,0,0.2,22.5,64.5,0.2,0.4,0,6.6
Nehuén Pérez,"Udinese,",22,", D(C)",13,1065,0,0.2,53.7,85.2,0.2,4.6,0,6.6
Karol Linetty,"Torino,",27,", M(CLR)",11(3),954,0,0.9,32.9,86.6,0.4,1.2,0,6.6
Timo Hübers,"FC Koln,",26,", D(C)",11(1),1028,0,0.2,56.7,83.4,0,3.5,0,6.6
Henrikh Mkhitaryan,"Inter,",33,", M(CLR),FW",7(5),664,1,0.6,24.9,87,0.2,1,0,6.59
Michele Di Gregorio,"Monza,",25,", GK",15,1350,0,0,32.5,74.1,0,5.8,0,6.59
Rani Khedira,"Union Berlin,",28,", D(C),DMC",14,1216,0,0.3,30.4,75.1,0.1,1.4,0,6.59
Lucas Digne,"Aston Villa,",29,", D(CL),M(L)",9(1),812,0,0.6,40.5,79,0.9,2.1,0,6.59
Boubacar Kamara,"Aston Villa,",23,", D(CL),DMC",8(1),671,0,0.2,43.9,83.5,0,2.4,0,6.59
Issiaga Sylla,"Toulouse,",28,", D(LR),M(L)",12(1),1051,0,0.3,39.3,79.3,0.2,0.9,0,6.59
Alban Lafont,"Nantes,",23,", GK",14,1260,0,0.1,27.3,63.1,0,5.8,0,6.59
Benjamin Henrichs,"RBL,",25,", D(LR),DMC,M(LR)",10(4),974,1,0.8,38.4,73.2,0.6,2,0.1,6.59
Kevin Akpoguma,"Hoffenheim,",27,", D(CR),M(R)",8(5),836,0,0.2,31.5,78.7,0.2,1.6,0,6.59
Mërgim Vojvoda,"Torino,",27,", D(CR),M(LR)",4(5),448,3,0.8,26.4,81.9,0.1,0.8,0.1,6.59
Sergio Akieme,"Almeria,",24,", D(L)",14,1260,0,0.6,30.9,81,0.7,1.7,0,6.59
Brendan Chardonnet,"Brest,",27,", D(C)",13(1),1215,0,0.4,47.7,83.2,0.1,5.8,0,6.59
Moussa Sissoko,"Nantes,",33,", M(CR)",8(1),703,0,0.6,28.8,76.4,0.6,1,0,6.59
Eljif Elmas,"Napoli,",23,", M(CLR)",4(10),530,1,0.6,17.6,83.8,0.2,0.4,0.1,6.59
Krépin Diatta,"Monaco,",23,", M(LR),FW",8(5),877,0,0.7,20.6,83.6,0.5,0.3,0,6.59
Diogo Leite,"Union Berlin,",23,", D(C)",13,1099,1,0.3,51.8,80,0.1,5.2,0,6.59
Éderson,"Atalanta,",23,", M(C)",8(5),744,0,0.8,21.8,78.9,0.2,1,0,6.59
MBala Nzola,"Spezia,",26,", FW",15,1350,0,0.9,18.7,80.4,0.1,0.1,0,6.59
Jakub Kiwior,"Spezia,",22,", D(C),DMC",15,1291,0,0.3,45.3,85.9,0.4,3.6,0,6.59
Kasper Schmeichel,"Nice,",36,", GK",13,1170,0,0,28.8,73.5,0,7.5,0,6.59
Pierre Lees-Melou,"Brest,",29,", M(CLR)",12,973,0,0.4,42.3,86,0.3,5.4,0,6.59
Luiz Henrique,"Real Betis,",21,", AM(LR)",9(3),745,1,0.4,15,76.1,0.2,0.3,0,6.59
Álex Remiro,"Real Sociedad,",27,", GK",14,1260,0,0,30.4,72.1,0,8,0,6.59
Yunus Musah,"Valencia,",20,", AM(CR)",10(1),849,2,0.5,29,82.8,0.1,2,0.2,6.59
Robin Zentner,"Mainz,",28,", GK",15,1350,0,0.1,26.5,47.6,0,5.8,0,6.59
Riyad Mahrez,"Man City,",31,", AM(CLR),FW",4(5),371,0,0.8,25.4,90,0.8,1.8,0.1,6.59
Rubén García,"Osasuna,",29,", AM(CLR),FW",4(7),422,2,1.1,17,82.9,1.2,1.6,0.2,6.59
Andreaw Gravillon,"Reims,",24,", D(CR)",12,1035,0,0.2,32,75.8,0.3,2,0.2,6.59
Jadon Sancho,"Man Utd,",22,", AM(CLR)",10,723,1,1.4,28.5,83.2,0.1,0.4,0.1,6.58
Musa Barrow,"Bologna,",24,", AM(CL),FW",9(2),692,1,1.5,18.6,76.1,1.6,1.4,0,6.58
Koffi Djidji,"Torino,",30,", D(CL)",12(1),1075,0,0.2,44.4,86.3,0.3,1.8,0,6.58
Arbër Zeneli,"Reims,",27,", AM(LR),FW",9(2),676,2,1.5,21.9,76.3,0.7,0.5,0.1,6.58
Matz Sels,"Strasbourg,",30,", GK",15,1350,0,0,23.4,64.1,0,4.9,0,6.58
Zakaria Aboukhlal,"Toulouse,",22,", AM(LR)",14(1),1174,3,0.5,19.7,71.3,0.1,0.1,0,6.58
Anthony Modeste,"Borussia Dortmund,",34,", FW",7(6),720,1,0.5,7.5,60.2,0.1,0,0,6.58
Stefan Bell,"Mainz,",31,", D(CR)",9(4),891,0,0.5,36.5,80.6,0.1,3.2,0.1,6.58
