name,team,age,position,apps,minutesPlayed,shotsTotal,shotOboxTotal,shotSixYardBox,shotPenaltyArea,rating
Samuel Umtiti,"Lecce,",29,", D(CL)",5,333,0,0,0,0,6.51
Vanja Milinkovic-Savic,"Torino,",25,", GK",15,1350,0,0,0,0,6.51
Alessandro Buongiorno,"Torino,",23,", D(C)",12,908,0.5,0,0,0.5,6.51
Danilo Soares,"Bochum,",31,", D(L),M(L)",10,827,0.1,0.1,0,0,6.51
Jan Oblak,"Atletico Madrid,",29,", GK",12,1053,0,0,0,0,6.51
Aaron Hickey,"Brentford,",20,", D(LR),M(LR)",9,684,0.3,0.2,0,0.1,6.51
Yohann Magnin,"Clermont Foot,",25,", DMC",15,939,0.5,0.2,0,0.3,6.51
Issa Kaboré,"Marseille,",21,", D(R),M(R)",7,366,0.6,0.1,0.1,0.3,6.51
Sergio León,"Real Valladolid,",33,", FW",13,627,1.2,0.2,0,1,6.51
Alessandro Florenzi,"AC Milan,",31,", D(R),M(CLR)",2,96,0,0,0,0,6.51
Evann Guessand,"Nantes,",21,", AM(R),FW",14,635,0.7,0,0.1,0.6,6.51
Pere Milla,"Elche,",30,", AM(CL),FW",13,806,0.8,0,0.2,0.6,6.5
Sinaly Diomandé,"Lyon,",21,", D(C)",5,365,0.2,0,0,0.2,6.5
Hugo Bueno,"Wolverhampton,",20,", D(L)",6,451,0.3,0,0,0.3,6.5
Kevin Behrens,"Union Berlin,",31,", FW",15,442,0.5,0.1,0.1,0.4,6.5
Édouard Mendy,"Chelsea,",30,", GK",9,765,0,0,0,0,6.5
Victor Lindelöf,"Manchester United,",28,", D(CR)",5,351,0,0,0,0,6.5
Giorgio Scalvini,"Atalanta,",18,", D(C)",11,648,0.4,0.1,0,0.3,6.5
Luka Lochoshvili,"Cremonese,",24,", D(C)",12,971,0.3,0.2,0.1,0.1,6.5
Joseph Aidoo,"Celta Vigo,",27,", D(C)",14,1260,0.4,0.2,0,0.2,6.5
Jean-Clair Todibo,"Nice,",22,", D(C)",13,1073,0.2,0.2,0.1,0,6.5
Fernand Mayembo,"AC Ajaccio,",26,", Defender",4,285,0.5,0,0.3,0.3,6.5
José Ángel Carmona,"Sevilla,",20,", D(C)",9,443,0.6,0.1,0.1,0.3,6.5
Mohamed Elyounoussi,"Southampton,",28,", AM(CLR),FW",14,988,1.5,0.5,0.2,0.8,6.5
Kieffer Moore,"Bournemouth,",30,", FW",15,750,0.7,0.1,0.1,0.5,6.5
Marco Asensio,"Real Madrid,",26,", AM(CLR),FW",9,179,0.9,0.6,0,0.3,6.5
Aleksa Terzic,"Fiorentina,",23,", Defender",8,259,0.3,0.3,0,0,6.5
Patrick Ciurria,"Monza,",27,", M(R)",13,771,1.1,0.8,0,0.3,6.5
Lesley Ugochukwu,"Rennes,",18,", M(C)",8,464,0.1,0.1,0,0,6.5
Abdu Conté,"Troyes,",24,", D(L),M(L)",8,467,0.3,0.1,0,0.1,6.5
Diego Llorente,"Leeds,",29,", D(C),DMC",7,630,0.9,0.1,0.1,0.6,6.5
Domenico Berardi,"Sassuolo,",28,", AM(R),FW",7,383,2.3,1.9,0,0.4,6.5
Divock Origi,"AC Milan,",27,", AM(LR),FW",10,432,1.5,0.7,0.1,0.7,6.5
Gerrit Holtmann,"Bochum,",27,", D(L),M(LR)",13,733,1.8,0.7,0,1.2,6.5
Samuel Chukwueze,"Villarreal,",23,", AM(CR)",13,534,1.1,0.4,0,0.7,6.5
Nathan Collins,"Wolverhampton,",21,", D(CR)",12,1023,0,0,0,0,6.5
Mattia Viti,"Nice,",20,", D(C)",7,602,0.3,0,0,0.3,6.5
Adam Lallana,"Brighton,",34,", M(CLR)",11,495,0.5,0,0,0.5,6.5
Sebastiaan Bornauw,"Wolfsburg,",23,", D(C)",10,727,0.2,0,0,0.2,6.5
Sam Lammers,"Empoli,",25,", FW",14,886,2,0.5,0,1.5,6.49
Giovanni Reyna,"Borussia Dortmund,",20,", AM(CLR)",10,363,0.9,0.1,0.1,0.7,6.49
Alexander Hack,"Mainz 05,",29,", D(C)",13,992,0.2,0,0,0.2,6.49
Leandro Cabrera,"Espanyol,",31,", D(CL)",13,1108,0.9,0,0.2,0.7,6.49
Ángel Correa,"Atletico Madrid,",27,", AM(CLR),FW",14,509,1.4,0.4,0.1,0.9,6.49
Brecht Dejaegere,"Toulouse,",31,", AM(C)",12,776,0.8,0,0.1,0.8,6.49
Jodel Dossou,"Clermont Foot,",30,", AM(R)",8,251,0.8,0.3,0,0.5,6.49
Neeskens Kebano,"Fulham,",30,", AM(CLR)",12,719,0.8,0.1,0,0.7,6.49
Timothy Weah,"Lille,",22,", M(LR),FW",6,316,0.8,0.2,0.2,0.5,6.49
Adam Webster,"Brighton,",27,", D(C)",13,1170,0.9,0.1,0,0.8,6.49
André Gomes,"Lille,",29,", M(CLR)",9,537,0.8,0.4,0,0.3,6.49
Arkadiusz Milik,"Marseille,",28,", AM(C),FW",2,131,0.5,0,0,0.5,6.49
Paul Wanner,"Bayern Munich,",16,", Midfielder",1,11,0,0,0,0,6.49
Roland Sallai,"Freiburg,",25,", AM(CLR),FW",8,378,1.9,0.6,0.1,1.1,6.49
Alex Telles,"Sevilla,",29,", D(L),M(L)",13,752,0.3,0.2,0,0.1,6.49
Nicolas Jackson,"Villarreal,",21,", FW",13,777,1.2,0.2,0.3,0.8,6.49
Asier Illarramendi,"Real Sociedad,",32,", M(C)",6,151,0.3,0.3,0,0,6.49
Joshua Zirkzee,"Bologna,",21,", FW",6,235,1.3,0,0.3,1,6.49
Jeff Reine-Adélaïde,"Lyon,",24,", AM(CLR),FW",11,305,0.8,0.5,0,0.4,6.49
Tobias Mohr,"Schalke 04,",27,", D(L),M(CL)",11,696,0.8,0.5,0,0.4,6.49
Bartol Franjic,"Wolfsburg,",22,", D(L),DMC",4,218,0.3,0,0.3,0,6.49
Papa Ndiaga Yade,"Troyes,",22,", M(L)",8,317,0.9,0.4,0,0.5,6.49
Jeremy Toljan,"Sassuolo,",28,", D(LR),M(LR)",15,1319,0.3,0.1,0,0.1,6.49
Ferran Torres,"Barcelona,",22,", AM(LR),FW",13,567,2,0.2,0.2,1.6,6.49
Jonny Evans,"Leicester,",34,", D(CL)",9,810,0.1,0,0.1,0,6.49
Benoît Costil,"Auxerre,",35,", GK",15,1350,0,0,0,0,6.49
Unai Simón,"Athletic Bilbao,",25,", GK",14,1260,0,0,0,0,6.49
Jérémy Doku,"Rennes,",20,", AM(LR)",8,165,0.6,0.1,0,0.5,6.49
Federico Chiesa,"Juventus,",25,", M(CLR),FW",2,43,0,0,0,0,6.49
Rayan Aït-Nouri,"Wolverhampton,",21,", D(L),M(L)",10,667,0.7,0.1,0,0.6,6.48
Toni Lato,"Valencia,",25,", D(L)",9,271,0.6,0.2,0,0.3,6.48
Charalampos Lykogiannis,"Bologna,",29,", D(CL),M(L)",12,587,0.7,0.5,0,0.2,6.48
Thierno Baldé,"Troyes,",20,", D(R)",11,802,0.3,0,0,0.3,6.48
Dany Mota,"Monza,",24,", FW",10,608,0.7,0.1,0.2,0.4,6.48
Jonathan Burkardt,"Mainz 05,",22,", AM(CR),FW",11,537,1.9,0.1,0.3,1.5,6.48
Yoane Wissa,"Brentford,",26,", AM(L),FW",15,637,1.1,0.3,0.1,0.7,6.48
Anthony Caci,"Mainz 05,",25,", D(CLR),M(L)",12,617,0.3,0,0,0.3,6.48
Nico González,"Valencia,",20,", DMC",12,513,0.8,0.3,0.1,0.3,6.48
Pol Lirola,"Elche,",25,", D(R),M(LR)",8,551,0.1,0,0,0.1,6.48
Duván Zapata,"Atalanta,",31,", FW",9,512,1.4,0.3,0,1.1,6.48
Cheikhou Kouyaté,"Nottingham Forest,",32,", D(CR),DMC",12,709,0.4,0.3,0,0.2,6.48
Josuha Guilavogui,"Wolfsburg,",32,", D(C),M(C)",10,451,0.2,0.1,0,0.1,6.48
Tonny Vilhena,"Salernitana,",27,", D(L),M(CL)",14,987,1.4,0.9,0,0.5,6.48
Antonio Rüdiger,"Real Madrid,",29,", D(CR)",12,683,0.6,0.1,0.1,0.4,6.48
Filip Djuricic,"Sampdoria,",30,", AM(CLR),FW",15,1017,0.5,0.3,0.1,0.2,6.48
Nacho Vidal,"Osasuna,",27,", D(R)",13,892,0.6,0.2,0,0.4,6.48
Alexis Blin,"Lecce,",26,", DMC",13,687,0.1,0,0,0.1,6.48
Rodrigo Zalazar,"Schalke 04,",23,", M(C)",8,378,1.8,1.1,0.1,0.5,6.48
Gerson,"Marseille,",25,", M(CLR)",10,420,0.9,0.3,0.1,0.5,6.48
Lassine Sinayoko,"Auxerre,",22,", AM(R)",14,866,1.6,0.8,0.1,0.6,6.48
Marco Benassi,"Fiorentina,",28,", M(CR)",2,93,0,0,0,0,6.48
Haris Belkebla,"Brest,",28,", DMC",15,1087,0.4,0.3,0,0.1,6.47
Paul Bernardoni,"Angers,",25,", GK",7,630,0,0,0,0,6.47
Paolo Ghiglione,"Cremonese,",25,", D(R),M(R)",5,380,0.6,0.4,0,0.2,6.47
Unai Núñez,"Celta Vigo,",25,", D(C)",13,1170,0.5,0.1,0.1,0.3,6.47
Francis Coquelin,"Villarreal,",31,", M(CLR)",11,520,0.4,0.1,0,0.3,6.47
Pedro Chirivella,"Nantes,",25,", DMC",14,1202,0.9,0.6,0,0.2,6.47
Gabriel Paulista,"Valencia,",32,", D(CR)",10,579,1.1,0.3,0.1,0.7,6.47
Simone Verdi,"Verona,",30,", AM(CLR),FW",8,452,1.5,1.3,0,0.3,6.47
Kristian Pedersen,"FC Koln,",28,", D(CL),M(L)",5,266,0.2,0,0.2,0,6.47
Konstantinos Tsimikas,"Liverpool,",26,", D(L)",10,365,0.3,0.1,0,0.2,6.47
Takehiro Tomiyasu,"Arsenal,",24,", D(CLR)",11,406,0.1,0,0,0.1,6.47
Souleyman Doumbia,"Angers,",26,", D(L),M(L)",13,1078,0.3,0.1,0,0.2,6.47
Stole Dimitrievski,"Rayo Vallecano,",28,", GK",13,1170,0,0,0,0,6.47
Emanuele Valeri,"Cremonese,",24,", M(L)",14,1007,1.1,0.6,0.1,0.4,6.47
Rubén Sobrino,"Cadiz,",30,", AM(CLR),FW",11,801,1.2,0.1,0.3,0.8,6.47
Wilson Odobert,"Troyes,",18,", Forward",15,694,0.9,0.3,0.1,0.5,6.47
Nemanja Radonjic,"Torino,",26,", M(CLR)",14,697,2,0.6,0.1,1.3,6.47
Craig Dawson,"West Ham,",32,", D(CR)",5,450,0.4,0.2,0,0.2,6.47
Yan Couto,"Girona,",20,", D(R),M(R)",10,505,0.2,0.2,0,0,6.47
Agustín Marchesín,"Celta Vigo,",34,", GK",14,1260,0,0,0,0,6.47
Arkadiusz Reca,"Spezia,",27,", D(L),M(L)",11,792,0.5,0.3,0,0.3,6.47
Arnaud Nordin,"Montpellier,",24,", AM(CLR),FW",13,811,1.2,0.4,0.1,0.8,6.47
Eric Martel,"FC Koln,",20,", DMC",12,768,0.8,0.7,0.1,0.1,6.47
Leonardo Spinazzola,"Roma,",29,", D(LR),M(L)",11,739,0.3,0.1,0.1,0.1,6.47
Pape Gueye,"Marseille,",23,", DMC",9,338,0.7,0.1,0,0.6,6.47
Stephan El Shaarawy,"Roma,",30,", M(CLR),FW",10,340,0.9,0.4,0.1,0.4,6.47
Matheus Nunes,"Wolverhampton,",24,", AM(C)",12,862,1.3,0.4,0,0.8,6.46
Renato Tapia,"Celta Vigo,",27,", D(C),DMC",11,641,0.2,0.2,0,0,6.46
Fernando Calero,"Espanyol,",27,", D(C)",12,875,0.2,0,0,0.2,6.46
Hugo Magnetti,"Brest,",24,", DMC",12,587,0.4,0.4,0,0,6.46
Thomas Ouwejan,"Schalke 04,",26,", D(L),M(L)",10,743,0.5,0.4,0,0.1,6.46
Mathias Pereira Lage,"Brest,",26,", M(CLR)",15,950,1.1,0.5,0.1,0.5,6.46
Adam Hlozek,"Bayer Leverkusen,",20,", AM(CL),FW",13,577,0.9,0.3,0.1,0.5,6.46
Bram Nuytinck,"Udinese,",32,", D(C)",6,382,0.2,0,0,0.2,6.46
Sebastiano Luperto,"Empoli,",26,", D(C)",13,1086,0.4,0.1,0,0.3,6.46
András Schäfer,"Union Berlin,",23,", M(C)",11,707,0.5,0.4,0,0.2,6.46
Ilija Nestorovski,"Udinese,",32,", FW",6,86,0.5,0,0,0.5,6.46
Soungoutou Magassa,"Monaco,",19,", Midfielder",1,73,0,0,0,0,6.46
Stefan Bajcetic,"Liverpool,",18,", Defender",1,20,0,0,0,0,6.46
Ezri Konsa,"Aston Villa,",25,", D(CR)",15,1261,0.2,0,0.1,0.1,6.46
Mathías Olivera,"Napoli,",25,", D(L),M(L)",11,376,0.2,0,0.1,0.1,6.46
Joe Worrall,"Nottingham Forest,",25,", D(C)",11,713,0.2,0,0,0.2,6.46
Rémy Riou,"Lyon,",35,", GK",4,331,0,0,0,0,6.46
Nadir Zortea,"Atalanta,",23,", D(R),M(L)",8,182,0.3,0.1,0,0.1,6.46
Matty Cash,"Aston Villa,",25,", D(R),M(CLR)",13,1032,0.5,0.3,0,0.2,6.46
Daniel Podence,"Wolverhampton,",27,", AM(CLR),FW",15,1022,1.6,0.6,0.1,0.9,6.46
Pablo Fornals,"West Ham,",26,", M(CLR)",14,781,0.9,0.7,0,0.1,6.46
Martín Satriano,"Empoli,",21,", FW",13,878,1.7,0.3,0.2,1.2,6.46
Filippo Ranocchia,"Monza,",21,", Midfielder",7,333,1.6,1.4,0.1,0,6.46
Robin Koch,"Leeds,",26,", D(C),DMC",14,1216,0.4,0.1,0,0.3,6.46
Lewis Dunk,"Brighton,",31,", D(C)",14,1260,0.6,0,0.1,0.5,6.46
Christian Groß,"Werder Bremen,",33,", D(C),DMC",13,911,0.2,0.2,0,0.1,6.46
Razvan Marin,"Empoli,",26,", M(C)",15,980,0.7,0.7,0,0,6.46
Piero Hincapié,"Bayer Leverkusen,",20,", D(CL)",13,1011,0.6,0.3,0.1,0.2,6.45
Adam Smith,"Bournemouth,",31,", D(LR),M(LR)",15,1306,0.2,0,0.1,0.1,6.45
Luka Romero,"Lazio,",18,", Midfielder",3,119,1,0.3,0.3,0.3,6.45
Clerc,"Elche,",30,", D(L),M(L)",10,864,0.5,0.1,0.1,0.3,6.45
Andrea Pinamonti,"Sassuolo,",23,", FW",15,1162,2.3,0.5,0.1,1.7,6.45
Robert Sánchez,"Brighton,",25,", GK",14,1260,0,0,0,0,6.45
Genki Haraguchi,"Union Berlin,",31,", M(CLR)",8,362,0.6,0.4,0,0.3,6.45
Lukás Hrádecky,"Bayer Leverkusen,",33,", GK",14,1260,0,0,0,0,6.45
Brandon Soppy,"Atalanta,",20,", D(R),M(LR)",10,530,0.5,0.3,0,0.2,6.45
Kays Ruiz-Atil,"Auxerre,",20,", Midfielder",1,63,0,0,0,0,6.45
Yan Valery,"Angers,",23,", D(CR),M(R)",9,672,0.4,0.2,0,0.2,6.45
Matt Doherty,"Tottenham,",30,", D(LR),M(LR)",8,348,0.5,0,0,0.5,6.45
Rubén Peña,"Osasuna,",31,", D(R),M(LR)",10,566,0.9,0.5,0.1,0.3,6.45
Lucas Perrin,"Strasbourg,",24,", D(C)",9,551,0.1,0,0.1,0,6.45
Gianluca Scamacca,"West Ham,",23,", FW",13,758,1.9,0.6,0.1,1.2,6.45
Roberto Soriano,"Bologna,",31,", AM(CLR)",14,635,0.4,0.1,0.1,0.2,6.45
Hugo Ekitike,"Paris Saint-Germain,",20,", FW",9,224,0.7,0.1,0,0.6,6.45
Lucien Agoumé,"Troyes,",20,", DMC",3,106,0,0,0,0,6.45
Rhys Healey,"Toulouse,",28,", FW",3,58,1.3,0.3,0.3,0.7,6.45
Kevin Vogt,"Hoffenheim,",31,", D(CR),M(C)",14,1193,0,0,0,0,6.45
Fábio Vieira,"Arsenal,",22,", AM(CR),FW",8,242,0.9,0.5,0,0.4,6.45
Juan Miranda,"Real Betis,",22,", D(L)",2,93,0.5,0.5,0,0,6.45
Miguel Gutiérrez,"Girona,",21,", D(L)",13,915,0.6,0.3,0,0.3,6.44
Antonio Candreva,"Salernitana,",35,", M(CLR)",15,1172,1.2,0.9,0.1,0.2,6.44
Takumi Minamino,"Monaco,",27,", AM(CLR),FW",9,333,0.8,0.3,0.2,0.2,6.44
Miha Blazic,"Angers,",29,", D(C)",10,856,0.4,0,0.1,0.3,6.44
Dan James,"Leeds,",25,", AM(CLR),FW",4,199,0.8,0.3,0,0.5,6.44
Linton Maina,"FC Koln,",23,", M(CLR),FW",14,811,1.3,0.3,0.1,0.9,6.44
Luka Jovic,"Fiorentina,",24,", FW",14,750,2,0.2,0.1,1.7,6.44
Konstantinos Stafylidis,"Bochum,",29,", D(LR),DMC,M(L)",8,371,0.5,0.5,0,0,6.44
Matt Targett,"Newcastle,",27,", D(L),M(L)",10,421,0.1,0.1,0,0,6.44
Kevin Agudelo,"Spezia,",24,", AM(CR),FW",15,983,0.8,0.7,0,0.1,6.44
James Milner,"Liverpool,",36,", D(LR),M(CLR)",12,464,0.4,0,0,0.4,6.44
Lorenzo Pirola,"Salernitana,",20,", Defender",6,399,0.2,0,0,0.2,6.44
Danny da Costa,"Mainz 05,",29,", D(R),M(R)",8,427,0.5,0.1,0,0.4,6.44
Dimitri Liénard,"Strasbourg,",34,", D(L),M(CL)",13,747,0.8,0.5,0,0.2,6.44
Lucas Olaza,"Real Valladolid,",28,", D(L),M(L)",9,641,0.2,0.2,0,0,6.44
Michele Castagnetti,"Cremonese,",32,", Midfielder",8,335,0.5,0.5,0,0,6.44
Valentino Lazaro,"Torino,",26,", D(R),M(CLR)",13,909,0.5,0,0.1,0.4,6.44
Luca Zanimacchia,"Cremonese,",24,", AM(C)",12,661,1.5,0.4,0,1.1,6.44
Ante Budimir,"Osasuna,",31,", FW",11,557,1.7,0.1,0.2,1.5,6.44
Sergio Herrera,"Osasuna,",29,", GK",10,900,0,0,0,0,6.44
Maximilian Bauer,"Augsburg,",22,", D(C)",14,1038,0.6,0,0.2,0.4,6.44
Martin Braithwaite,"Espanyol,",31,", AM(CLR),FW",9,706,1.9,0.8,0.2,0.9,6.44
Álex Fernández,"Cadiz,",30,", M(CL),FW",12,701,0.8,0,0.2,0.6,6.44
Sebastian Walukiewicz,"Empoli,",22,", D(C)",3,147,0.3,0,0,0.3,6.44
Federico Ceccherini,"Verona,",30,", D(C)",9,641,0.4,0.2,0.2,0,6.44
Tyrick Mitchell,"Crystal Palace,",23,", D(L)",14,980,0.1,0,0,0.1,6.44
Adama Traoré,"Wolverhampton,",26,", M(CLR),FW",12,621,0.7,0.3,0,0.4,6.44
Cristian Buonaiuto,"Cremonese,",29,", Midfielder",11,365,1.7,0.7,0,1,6.44
Álvaro Aguado,"Real Valladolid,",26,", M(C)",13,747,0.5,0.3,0,0.2,6.44
Alexander Schwolow,"Schalke 04,",30,", GK",15,1350,0.1,0,0.1,0,6.44
Bamba Dieng,"Marseille,",22,", AM(L),FW",6,140,1.5,0.2,0.2,1.2,6.44
Isak Hien,"Verona,",23,", D(C)",12,880,0.1,0,0,0.1,6.44
Jakub Kaminski,"Wolfsburg,",20,", M(LR)",13,804,1,0.2,0.1,0.7,6.43
Jean-Victor Makengo,"Udinese,",24,", AM(CL)",12,645,0.5,0.4,0,0.1,6.43
Alexsandro Ribeiro,"Lille,",23,", Defender",6,393,0.3,0,0.2,0.2,6.43
Alejandro Pozo,"Almeria,",23,", D(R),M(R)",10,579,0.3,0.1,0,0.2,6.43
Koni de Winter,"Empoli,",20,", D(C)",8,532,0,0,0,0,6.43
Arthur Cabral,"Fiorentina,",24,", FW",12,496,1.4,0,0.1,1.3,6.43
Erik Lamela,"Sevilla,",30,", AM(CLR),FW",13,958,1.8,0.2,0.2,1.4,6.43
Cristhian Stuani,"Girona,",36,", AM(CLR),FW",10,413,1.3,0,0.1,1.2,6.43
Iván Sánchez,"Real Valladolid,",30,", AM(CR)",11,556,0.8,0.5,0,0.3,6.43
Chris Mepham,"Bournemouth,",25,", D(C)",14,1252,0.4,0.1,0,0.3,6.43
Amath Ndiaye,"Mallorca,",26,", AM(L)",7,237,1,0.1,0,0.9,6.43
Johan Mojica,"Elche,",30,", D(L),M(L)",3,270,1,0.3,0,0.7,6.43
Momo Mbaye,"Cadiz,",24,", Defender",3,210,0.3,0,0.3,0,6.43
Pietro Terracciano,"Fiorentina,",32,", GK",12,1080,0,0,0,0,6.43
Fábio Carvalho,"Liverpool,",20,", AM(CL)",11,335,1,0.1,0.2,0.7,6.43
Marius Bülter,"Schalke 04,",29,", D(R),M(CLR),FW",15,1177,1.9,0.5,0.2,1.2,6.43
Mads Pedersen,"Augsburg,",26,", D(L),M(CL)",12,692,0.1,0.1,0,0,6.43
Mattias Svanberg,"Wolfsburg,",23,", M(CL)",14,626,0.3,0.1,0,0.1,6.43
Darko Brasanac,"Osasuna,",30,", M(CR)",12,482,0.4,0.2,0.1,0.2,6.43
Milan Skriniar,"Inter,",27,", D(C)",15,1280,0.5,0.1,0,0.4,6.43
Nahuel Molina,"Atletico Madrid,",24,", D(R),M(R)",11,927,0.5,0.3,0.1,0.1,6.43
Kike Barja,"Osasuna,",25,", AM(LR)",7,286,0.3,0,0,0.3,6.43
Théo Le Bris,"Lorient,",20,", Defender",14,816,0.4,0,0.1,0.4,6.43
Benno Schmitz,"FC Koln,",28,", D(CLR)",14,1038,0.3,0,0,0.3,6.43
Romano Schmid,"Werder Bremen,",22,", AM(CL)",14,937,0.6,0.5,0,0.1,6.43
Jérémie Bela,"Clermont Foot,",29,", M(LR)",10,568,0.7,0.5,0.1,0.1,6.43
Srdjan Babic,"Almeria,",26,", D(C)",13,1125,0.2,0,0.1,0.1,6.43
Romain Faivre,"Lyon,",24,", AM(CLR)",8,260,0.6,0.5,0,0.1,6.43
Omar Colley,"Sampdoria,",30,", D(C)",13,1125,0.3,0,0.2,0.2,6.43
Jean-Kévin Duverne,"Brest,",25,", D(CLR)",14,1104,0.1,0.1,0.1,0,6.42
Gaetan Perrin,"Auxerre,",26,", Forward",15,432,0.5,0.3,0,0.3,6.42
Mamadou Sakho,"Montpellier,",32,", D(C)",7,394,0.3,0,0.1,0.1,6.42
Fredrik Jensen,"Augsburg,",25,", AM(C),FW",11,618,0.5,0.3,0,0.3,6.42
Yoann Salmier,"Troyes,",30,", D(C)",13,1074,0.6,0.2,0.2,0.2,6.42
Jean-Eudes Aholou,"Strasbourg,",28,", DMC",12,591,0.4,0.3,0,0.2,6.42
Matheus Cunha,"Atletico Madrid,",23,", AM(CL),FW",11,372,1.1,0.3,0,0.8,6.42
Dodô,"Fiorentina,",24,", D(R)",12,872,0.2,0.1,0,0.1,6.42
Aihen Muñoz,"Real Sociedad,",25,", D(L)",9,667,0.2,0.1,0,0.1,6.42
Erik Palmer-Brown,"Troyes,",25,", D(C)",15,1250,0.3,0.1,0,0.2,6.42
Jean-Claude Billong,"Clermont Foot,",28,", D(C)",1,22,0,0,0,0,6.42
Álvaro Negredo,"Cadiz,",37,", FW",10,410,0.6,0.3,0,0.3,6.42
Bafodé Diakité,"Lille,",21,", D(CR)",14,1120,0.6,0,0.1,0.5,6.42
Fabio Depaoli,"Verona,",25,", D(R),DMC,M(LR)",10,667,0.6,0,0.2,0.4,6.42
Carlos Gruezo,"Augsburg,",27,", DMC",13,965,0.2,0.2,0,0,6.42
Vladimír Coufal,"West Ham,",30,", D(R),M(R)",9,684,0.2,0.2,0,0,6.42
Daniel Maldini,"Spezia,",21,", Forward",5,162,0.8,0.2,0,0.6,6.42
Marcos Senesi,"Bournemouth,",25,", D(C)",12,941,0.1,0,0,0.1,6.42
Calvin Stengs,"Nice,",23,", AM(CR)",4,214,0.8,0.5,0,0.3,6.42
Charles Aránguiz,"Bayer Leverkusen,",33,", M(C)",10,493,0.5,0.2,0,0.3,6.41
Unai López,"Rayo Vallecano,",27,", M(CR)",13,553,1,0.5,0,0.5,6.41
Bartosz Bereszynski,"Sampdoria,",30,", D(CLR),M(R)",14,1113,0.2,0.1,0,0.1,6.41
Christopher Antwi-Adjei,"Bochum,",28,", AM(CLR)",10,454,1.1,0.4,0.1,0.6,6.41
Moussa Dembélé,"Lyon,",26,", FW",12,573,1.6,0.1,0.1,1.4,6.41
Jørgen Strand Larsen,"Celta Vigo,",22,", FW",10,696,1.6,0.1,0.1,1.4,6.41
Jere Uronen,"Brest,",28,", D(L),M(L)",5,218,0.2,0.2,0,0,6.41
Elseid Hysaj,"Lazio,",28,", D(LR),M(R)",12,375,0.1,0.1,0,0,6.41
Mickaël Alphonse,"AC Ajaccio,",33,", D(R)",12,650,0.4,0.3,0,0.2,6.41
Cyrille Bayala,"AC Ajaccio,",26,", AM(R)",14,766,0.8,0.3,0.1,0.4,6.41
Alfonso Espino,"Cadiz,",30,", D(L)",14,1143,0.6,0.5,0,0.1,6.41
Emil Forsberg,"RB Leipzig,",31,", AM(CLR),FW",12,585,0.4,0.1,0.1,0.3,6.41
Ludovic Ajorque,"Strasbourg,",28,", FW",10,508,1.5,0.4,0.1,1,6.41
Cédric Bakambu,"Marseille,",31,", AM(LR),FW",3,56,0,0,0,0,6.41
Dominic Calvert-Lewin,"Everton,",25,", AM(L),FW",6,340,1.2,0,0.3,0.8,6.41
Ibrahim Diakité,"Reims,",19,", Defender",3,132,0.3,0,0,0.3,6.41
Jordan Zemura,"Bournemouth,",23,", D(L)",11,788,0,0,0,0,6.41
Tom Rothe,"Borussia Dortmund,",18,", Defender",1,13,0,0,0,0,6.41
Youcef Belaïli,"Brest,",30,", AM(L)",6,359,1.5,0.3,0,1.2,6.41
Stefan Mitrovic,"Getafe,",32,", D(C)",13,1034,0.1,0,0,0.1,6.41
Thomas Mangani,"AC Ajaccio,",35,", M(C)",13,516,0.6,0.5,0,0.2,6.41
Lameck Banda,"Lecce,",21,", AM(L)",15,893,1.1,0.5,0,0.5,6.41
Bevic Moussiti-Oko,"AC Ajaccio,",27,", FW",12,485,1,0.3,0.1,0.7,6.41
Nadiem Amiri,"Bayer Leverkusen,",26,", M(CLR)",11,418,0.7,0.6,0,0.1,6.41
Ander Guevara,"Real Sociedad,",25,", DMC",4,125,0.3,0.3,0,0,6.41
Ruben Aguilar,"Monaco,",29,", D(R),M(R)",7,327,0,0,0,0,6.41
Jon Pacheco,"Real Sociedad,",21,", D(C)",9,677,0.1,0,0,0.1,6.41
Kristian Thorstvedt,"Sassuolo,",23,", M(C)",15,799,0.9,0.3,0,0.7,6.4
Samuele Birindelli,"Monza,",23,", M(R)",12,639,0.8,0.3,0.2,0.3,6.4
Tyrell Malacia,"Manchester United,",23,", D(L)",9,567,0.1,0.1,0,0,6.4
Karim Adeyemi,"Borussia Dortmund,",20,", AM(R),FW",11,492,1.1,0.5,0.2,0.5,6.4
Silvan Widmer,"Mainz 05,",29,", D(CR),M(R)",13,927,1.2,0,0.4,0.8,6.4
Andrea Consigli,"Sassuolo,",35,", GK",15,1350,0,0,0,0,6.4
Fali,"Cadiz,",29,", D(C),DMC",8,559,0.5,0.1,0,0.4,6.4
Nicola Zalewski,"Roma,",20,", M(L)",11,596,0.4,0.2,0,0.2,6.4
Amine Salama,"Angers,",22,", FW",13,529,1.2,0.3,0.2,0.8,6.4
Ivan Sunjic,"Hertha Berlin,",26,", DMC",13,844,0.5,0.1,0,0.4,6.4
Berat Djimsiti,"Atalanta,",29,", D(C)",5,342,0.2,0,0,0.2,6.4
Mady Camara,"Roma,",25,", M(C)",8,380,0.5,0.5,0,0,6.4
Rafa Mir,"Sevilla,",25,", FW",9,562,2.7,0.4,0.6,1.7,6.4
Darko Lazovic,"Verona,",32,", M(CLR)",11,838,1,0.5,0,0.5,6.4
Hrvoje Smolcic,"Eintracht Frankfurt,",22,", D(C)",5,107,0,0,0,0,6.4
