name,team,age,position,apps,minutesPlayed,shotsTotal,shotOboxTotal,shotSixYardBox,shotPenaltyArea,rating
Simon Terodde,"Schalke 04,",34,", FW",15,1058,1.8,0.2,0,1.6,6.57
Ruslan Malinovskyi,"Atalanta,",29,", M(CR),FW",14,539,1.4,1.2,0,0.1,6.57
José Sá,"Wolverhampton,",29,", GK",15,1350,0,0,0,0,6.57
Dean Henderson,"Nottingham Forest,",25,", GK",15,1350,0,0,0,0,6.57
Rico Henry,"Brentford,",25,", D(L),M(L)",15,1347,0.5,0.3,0,0.2,6.57
Loïc Badé,"Rennes,",22,", D(C)",1,90,2,0,0,2,6.57
João Moutinho,"Wolverhampton,",36,", M(C)",13,1000,0.7,0.5,0,0.2,6.57
David Raum,"RB Leipzig,",24,", D(L),M(LR)",14,1035,0.5,0.4,0,0.1,6.57
Marco Carnesecchi,"Cremonese,",22,", GK",6,540,0,0,0,0,6.57
Martin Erlic,"Sassuolo,",24,", D(C)",10,869,0,0,0,0,6.57
Matija Nastasic,"Mallorca,",29,", D(C)",4,284,0.5,0,0,0.5,6.57
Isco,"Sevilla,",30,", M(CLR),FW",12,803,0.3,0.1,0,0.3,6.57
Paul Jaeckel,"Union Berlin,",24,", D(C),DMC",11,798,0.2,0,0,0.2,6.57
Robin Le Normand,"Real Sociedad,",26,", D(C)",11,815,0.1,0.1,0,0,6.57
Marc Guéhi,"Crystal Palace,",22,", D(C)",14,1260,0.3,0,0,0.3,6.57
Jacob Ramsey,"Aston Villa,",21,", AM(C)",15,1026,0.7,0.4,0.1,0.2,6.57
Jorge Cuenca,"Villarreal,",23,", D(C)",2,94,0,0,0,0,6.57
Vincent Marchetti,"AC Ajaccio,",25,", M(C)",15,1206,1.3,1,0,0.3,6.56
Chidera Ejuke,"Hertha Berlin,",24,", AM(CLR),FW",15,791,1.4,0.7,0,0.7,6.56
Maxime Lopez,"Sassuolo,",25,", M(CR)",13,1081,0.5,0.3,0,0.2,6.56
Maxim Leitsch,"Mainz 05,",24,", D(C)",7,621,0.3,0.1,0,0.1,6.56
Thibaut Courtois,"Real Madrid,",30,", GK",10,900,0,0,0,0,6.56
Norbert Gyömbér,"Salernitana,",30,", D(CR),DMC",11,736,0.2,0.1,0.1,0,6.56
Marco Richter,"Hertha Berlin,",25,", AM(CLR),FW",12,526,1.7,0.9,0.1,0.7,6.56
Kamaldeen Sulemana,"Rennes,",20,", AM(L)",10,258,0.9,0.4,0.1,0.4,6.56
Niko Gießelmann,"Union Berlin,",31,", D(CL),M(L)",11,653,1.1,0.6,0.1,0.4,6.56
César de la Hoz,"Almeria,",30,", DMC",8,583,0.4,0.4,0,0,6.56
Callum Hudson-Odoi,"Bayer Leverkusen,",22,", M(CLR)",9,480,0.2,0.2,0,0,6.56
Jarrod Bowen,"West Ham,",25,", AM(CLR),FW",15,1343,2.3,0.5,0.3,1.5,6.56
Donyell Malen,"Borussia Dortmund,",23,", AM(L),FW",10,679,1.8,0.5,0.1,1.2,6.56
Micky van de Ven,"Wolfsburg,",21,", D(C)",15,1350,0.4,0.1,0.1,0.3,6.56
Trevoh Chalobah,"Chelsea,",23,", D(CR),DMC",8,720,0.5,0,0.1,0.4,6.56
Abdelhamid Sabiri,"Sampdoria,",26,", AM(CL),FW",11,844,2.2,1.4,0,0.8,6.56
Stéphane Diarra,"Lorient,",23,", AM(R)",14,620,1,0.3,0.1,0.6,6.56
Melvin Bard,"Nice,",22,", D(L)",13,927,0.2,0.1,0,0.1,6.56
Antonee Robinson,"Fulham,",25,", D(L),M(L)",13,1109,0.1,0.1,0,0,6.56
Youssouf Koné,"AC Ajaccio,",27,", D(CL),M(L)",6,465,0.2,0.2,0,0,6.56
Lewis Cook,"Bournemouth,",25,", M(CL)",15,1193,0.2,0.2,0,0,6.56
David Silva,"Real Sociedad,",36,", M(CLR),FW",12,827,1,0.2,0.2,0.7,6.56
Andrea Cambiaso,"Bologna,",22,", D(R),M(L)",13,911,0.5,0.2,0,0.3,6.56
Birama Touré,"Auxerre,",30,", DMC",15,1336,0.7,0.4,0,0.3,6.56
Andrej Kramaric,"Hoffenheim,",31,", AM(CLR),FW",14,1031,1.7,0.4,0.2,1.1,6.56
Alessandro Tuia,"Lecce,",32,", D(C)",2,180,1,0,0,1,6.56
Cengiz Ünder,"Marseille,",25,", AM(CLR)",14,554,1.1,0.2,0.1,0.9,6.56
Jawad El Yamiq,"Real Valladolid,",30,", D(C)",8,438,0.6,0.3,0.1,0.3,6.56
Jérôme Boateng,"Lyon,",34,", D(CR)",4,294,0,0,0,0,6.56
Víctor Ruiz,"Real Betis,",33,", D(C)",4,340,0.3,0,0,0.3,6.56
Joe Rodon,"Rennes,",25,", D(C)",9,808,0.8,0,0.3,0.4,6.55
Ayoze Pérez,"Leicester,",29,", AM(CLR),FW",5,146,0.6,0,0,0.6,6.55
Monchu,"Real Valladolid,",23,", DMC",13,657,0.7,0.4,0,0.3,6.55
